STATE,STATENAME,ST_CASE,VEH_NO,PER_NO,PERSONRF,PERSONRFNAME
1,Alabama,10037,2,1,0,None
1,Alabama,10038,0,1,0,None
1,Alabama,10038,1,1,0,None
1,Alabama,10039,1,1,0,None
1,Alabama,10039,1,2,0,None
1,Alabama,10040,1,1,0,None
1,Alabama,10040,1,2,0,None
1,Alabama,10040,2,1,0,None
1,Alabama,10040,2,2,0,None
1,Alabama,10041,0,1,0,None
1,Alabama,10041,1,1,0,None
1,Alabama,10041,1,2,0,None
1,Alabama,10042,1,1,0,None
1,Alabama,10042,1,2,0,None
1,Alabama,10042,1,3,0,None
1,Alabama,10043,1,1,0,None
1,Alabama,10043,2,1,0,None
1,Alabama,10044,0,1,0,None
1,Alabama,10044,1,1,0,None
1,Alabama,10044,1,2,0,None
1,Alabama,10045,1,1,0,None
1,Alabama,10045,2,1,0,None
1,Alabama,10045,3,1,0,None
1,Alabama,10046,1,1,0,None
1,Alabama,10046,2,1,0,None
1,Alabama,10047,1,1,0,None
1,Alabama,10047,1,2,0,None
1,Alabama,10047,2,1,0,None
1,Alabama,10048,1,1,0,None
1,Alabama,10048,2,1,0,None
1,Alabama,10048,3,1,0,None
1,Alabama,10049,1,1,0,None
1,Alabama,10049,2,1,0,None
1,Alabama,10049,3,1,0,None
1,Alabama,10049,3,2,0,None
1,Alabama,10049,4,1,0,None
1,Alabama,10049,4,2,0,None
1,Alabama,10049,5,1,0,None
1,Alabama,10050,1,1,0,None
1,Alabama,10050,1,2,0,None
1,Alabama,10051,1,1,0,None
1,Alabama,10051,2,1,0,None
1,Alabama,10052,1,1,0,None
1,Alabama,10053,1,1,0,None
1,Alabama,10054,1,1,0,None
1,Alabama,10054,1,2,0,None
1,Alabama,10054,1,3,0,None
1,Alabama,10054,1,4,0,None
1,Alabama,10055,1,1,0,None
1,Alabama,10055,1,2,0,None
1,Alabama,10055,2,1,0,None
1,Alabama,10056,1,1,0,None
1,Alabama,10057,1,1,0,None
1,Alabama,10058,1,1,0,None
1,Alabama,10059,1,1,0,None
1,Alabama,10060,1,1,0,None
1,Alabama,10060,1,2,0,None
1,Alabama,10061,1,1,0,None
1,Alabama,10062,1,1,0,None
1,Alabama,10062,2,1,0,None
1,Alabama,10063,1,1,0,None
1,Alabama,10063,2,1,0,None
1,Alabama,10063,3,1,0,None
1,Alabama,10064,0,1,0,None
1,Alabama,10064,1,1,0,None
1,Alabama,10065,0,1,0,None
1,Alabama,10065,1,1,0,None
1,Alabama,10066,1,1,0,None
1,Alabama,10066,1,2,0,None
1,Alabama,10066,2,1,0,None
1,Alabama,10066,2,2,0,None
1,Alabama,10067,1,1,0,None
1,Alabama,10067,1,2,0,None
1,Alabama,10067,1,3,0,None
1,Alabama,10067,2,1,0,None
1,Alabama,10069,0,1,0,None
1,Alabama,10069,1,1,0,None
1,Alabama,10070,1,1,0,None
1,Alabama,10070,2,1,0,None
1,Alabama,10070,2,2,0,None
1,Alabama,10070,3,1,0,None
1,Alabama,10070,3,2,0,None
1,Alabama,10070,3,3,0,None
1,Alabama,10070,3,4,0,None
1,Alabama,10071,1,1,0,None
1,Alabama,10071,2,1,0,None
1,Alabama,10071,2,2,0,None
1,Alabama,10072,1,1,0,None
1,Alabama,10072,2,1,0,None
1,Alabama,10073,1,1,0,None
1,Alabama,10073,1,2,0,None
1,Alabama,10074,1,1,0,None
1,Alabama,10075,1,1,0,None
1,Alabama,10075,2,1,0,None
1,Alabama,10076,1,1,0,None
1,Alabama,10076,2,1,0,None
1,Alabama,10077,1,1,0,None
1,Alabama,10077,2,1,0,None
1,Alabama,10077,2,2,0,None
1,Alabama,10078,1,1,0,None
1,Alabama,10078,2,1,0,None
1,Alabama,10078,2,2,0,None
1,Alabama,10078,2,3,0,None
1,Alabama,10079,1,1,0,None
1,Alabama,10079,2,1,0,None
1,Alabama,10080,1,1,0,None
1,Alabama,10080,1,2,0,None
1,Alabama,10080,2,1,0,None
1,Alabama,10081,1,1,0,None
1,Alabama,10082,1,1,0,None
1,Alabama,10083,1,1,0,None
1,Alabama,10084,1,1,0,None
1,Alabama,10084,1,2,0,None
1,Alabama,10084,2,1,0,None
1,Alabama,10084,2,2,0,None
1,Alabama,10084,2,3,0,None
1,Alabama,10084,2,4,0,None
1,Alabama,10085,1,1,0,None
1,Alabama,10086,1,1,0,None
1,Alabama,10087,1,1,0,None
1,Alabama,10088,0,1,0,None
1,Alabama,10088,1,1,0,None
1,Alabama,10089,1,1,0,None
1,Alabama,10089,2,1,0,None
1,Alabama,10090,1,1,0,None
1,Alabama,10090,2,1,0,None
1,Alabama,10090,2,2,0,None
1,Alabama,10090,3,1,0,None
1,Alabama,10091,1,1,0,None
1,Alabama,10091,1,2,0,None
1,Alabama,10091,2,1,0,None
1,Alabama,10092,1,1,0,None
1,Alabama,10092,2,1,0,None
1,Alabama,10092,2,2,0,None
1,Alabama,10093,1,1,0,None
1,Alabama,10094,1,1,0,None
1,Alabama,10094,1,2,0,None
1,Alabama,10095,1,1,0,None
1,Alabama,10095,2,1,0,None
1,Alabama,10096,1,1,0,None
1,Alabama,10096,2,1,0,None
1,Alabama,10096,3,1,0,None
1,Alabama,10097,1,1,0,None
1,Alabama,10097,1,2,0,None
1,Alabama,10097,2,1,0,None
1,Alabama,10098,1,1,0,None
1,Alabama,10098,2,1,0,None
1,Alabama,10099,1,1,0,None
1,Alabama,10099,2,1,0,None
1,Alabama,10100,1,1,0,None
1,Alabama,10101,1,1,0,None
1,Alabama,10102,1,1,0,None
1,Alabama,10103,0,1,0,None
1,Alabama,10103,1,1,0,None
1,Alabama,10104,0,1,0,None
1,Alabama,10104,1,1,0,None
1,Alabama,10104,1,2,0,None
1,Alabama,10104,1,3,0,None
1,Alabama,10105,1,1,0,None
1,Alabama,10105,2,1,0,None
1,Alabama,10106,1,1,0,None
1,Alabama,10106,2,1,0,None
1,Alabama,10106,3,1,0,None
1,Alabama,10106,4,1,0,None
1,Alabama,10106,5,1,0,None
1,Alabama,10107,1,1,0,None
1,Alabama,10107,1,2,0,None
1,Alabama,10108,1,1,0,None
1,Alabama,10108,1,2,0,None
1,Alabama,10109,1,1,0,None
1,Alabama,10109,2,1,0,None
1,Alabama,10109,2,2,0,None
1,Alabama,10109,2,3,0,None
1,Alabama,10110,1,1,0,None
1,Alabama,10110,2,1,0,None
1,Alabama,10111,1,1,0,None
1,Alabama,10111,2,1,0,None
1,Alabama,10111,2,2,0,None
1,Alabama,10112,0,1,0,None
1,Alabama,10112,1,1,0,None
1,Alabama,10113,1,1,0,None
1,Alabama,10113,2,1,0,None
1,Alabama,10113,2,2,0,None
1,Alabama,10114,1,1,0,None
1,Alabama,10114,2,1,0,None
1,Alabama,10115,0,1,0,None
1,Alabama,10115,1,1,0,None
1,Alabama,10116,1,1,0,None
1,Alabama,10116,2,1,0,None
1,Alabama,10117,1,1,0,None
1,Alabama,10117,2,1,0,None
1,Alabama,10118,1,1,0,None
1,Alabama,10118,2,1,0,None
1,Alabama,10119,1,1,0,None
1,Alabama,10120,0,1,0,None
1,Alabama,10120,1,1,0,None
1,Alabama,10121,1,1,0,None
1,Alabama,10121,2,1,0,None
1,Alabama,10121,2,2,0,None
1,Alabama,10122,1,1,0,None
1,Alabama,10122,2,1,0,None
1,Alabama,10122,2,2,92,Person in Ambulance Treatment Compartment
1,Alabama,10122,2,3,94,Emergency Medical Service Personnel
1,Alabama,10123,0,1,0,None
1,Alabama,10123,1,1,0,None
1,Alabama,10123,1,2,0,None
1,Alabama,10124,1,1,0,None
1,Alabama,10124,2,1,0,None
1,Alabama,10124,2,2,0,None
1,Alabama,10124,2,3,0,None
1,Alabama,10124,2,4,0,None
1,Alabama,10124,2,5,0,None
1,Alabama,10124,2,6,0,None
1,Alabama,10124,2,7,0,None
1,Alabama,10124,2,8,0,None
1,Alabama,10124,2,9,0,None
1,Alabama,10124,2,10,0,None
1,Alabama,10124,2,11,0,None
1,Alabama,10124,2,12,0,None
1,Alabama,10124,2,13,0,None
1,Alabama,10124,2,14,0,None
1,Alabama,10124,2,15,0,None
1,Alabama,10124,2,16,0,None
1,Alabama,10124,2,17,0,None
1,Alabama,10124,2,18,0,None
1,Alabama,10124,2,19,0,None
1,Alabama,10124,2,20,0,None
1,Alabama,10125,1,1,0,None
1,Alabama,10126,1,1,0,None
1,Alabama,10127,1,1,0,None
1,Alabama,10127,1,2,0,None
1,Alabama,10127,2,1,0,None
1,Alabama,10127,2,2,0,None
1,Alabama,10128,1,1,0,None
1,Alabama,10128,2,1,0,None
1,Alabama,10128,2,2,0,None
1,Alabama,10129,1,1,0,None
1,Alabama,10129,2,1,0,None
1,Alabama,10130,1,1,0,None
1,Alabama,10130,2,1,0,None
1,Alabama,10131,0,1,0,None
1,Alabama,10131,1,1,0,None
1,Alabama,10132,1,1,0,None
1,Alabama,10133,1,1,0,None
1,Alabama,10133,2,1,0,None
1,Alabama,10134,1,1,0,None
1,Alabama,10135,1,1,0,None
1,Alabama,10135,2,1,0,None
1,Alabama,10136,1,1,0,None
1,Alabama,10137,1,1,0,None
1,Alabama,10138,1,1,0,None
1,Alabama,10138,2,1,0,None
1,Alabama,10139,1,1,0,None
1,Alabama,10140,1,1,0,None
1,Alabama,10140,2,1,0,None
1,Alabama,10140,3,1,0,None
1,Alabama,10141,1,1,0,None
1,Alabama,10141,1,2,0,None
1,Alabama,10141,1,3,0,None
1,Alabama,10141,2,1,0,None
1,Alabama,10141,2,2,0,None
1,Alabama,10142,1,1,0,None
1,Alabama,10143,1,1,0,None
1,Alabama,10143,1,2,0,None
1,Alabama,10144,1,1,0,None
1,Alabama,10144,1,2,0,None
1,Alabama,10145,1,1,0,None
1,Alabama,10146,1,1,0,None
1,Alabama,10146,1,2,0,None
1,Alabama,10146,2,1,0,None
1,Alabama,10147,1,1,0,None
1,Alabama,10147,2,1,0,None
1,Alabama,10148,1,1,0,None
1,Alabama,10148,2,1,0,None
1,Alabama,10148,2,2,0,None
1,Alabama,10148,2,3,0,None
1,Alabama,10149,1,1,0,None
1,Alabama,10150,1,1,0,None
1,Alabama,10151,1,1,0,None
1,Alabama,10152,1,1,0,None
1,Alabama,10153,1,1,0,None
1,Alabama,10154,1,1,0,None
1,Alabama,10155,1,1,0,None
1,Alabama,10155,2,1,0,None
1,Alabama,10155,2,2,0,None
1,Alabama,10156,0,1,0,None
1,Alabama,10156,1,1,0,None
1,Alabama,10157,1,1,0,None
1,Alabama,10158,1,1,0,None
1,Alabama,10159,1,1,0,None
1,Alabama,10159,2,1,0,None
1,Alabama,10159,2,2,0,None
1,Alabama,10159,2,3,0,None
1,Alabama,10160,1,1,0,None
1,Alabama,10160,1,2,0,None
1,Alabama,10161,1,1,0,None
1,Alabama,10162,0,1,0,None
1,Alabama,10162,0,2,0,None
1,Alabama,10162,1,1,0,None
1,Alabama,10163,1,1,0,None
1,Alabama,10164,1,1,0,None
1,Alabama,10165,1,1,0,None
1,Alabama,10165,2,1,0,None
1,Alabama,10165,2,2,0,None
1,Alabama,10166,1,1,0,None
1,Alabama,10166,2,1,0,None
1,Alabama,10167,1,1,0,None
1,Alabama,10168,1,1,0,None
1,Alabama,10168,2,1,0,None
1,Alabama,10168,2,2,0,None
1,Alabama,10169,0,1,95,Fire Personnel
1,Alabama,10169,1,1,0,None
1,Alabama,10169,3,1,0,None
1,Alabama,10170,1,1,0,None
1,Alabama,10171,1,1,0,None
1,Alabama,10172,0,1,0,None
1,Alabama,10172,1,1,0,None
1,Alabama,10173,0,1,0,None
1,Alabama,10173,1,1,0,None
1,Alabama,10174,0,1,0,None
1,Alabama,10174,1,1,0,None
1,Alabama,10174,2,1,0,None
1,Alabama,10176,1,1,0,None
1,Alabama,10176,1,2,0,None
1,Alabama,10176,2,1,0,None
1,Alabama,10176,2,2,0,None
1,Alabama,10177,1,1,0,None
1,Alabama,10177,1,2,0,None
1,Alabama,10178,1,1,0,None
1,Alabama,10178,2,1,0,None
1,Alabama,10179,1,1,0,None
1,Alabama,10179,2,1,0,None
1,Alabama,10180,1,1,0,None
1,Alabama,10180,1,2,0,None
1,Alabama,10181,1,1,0,None
1,Alabama,10181,2,1,0,None
1,Alabama,10181,2,2,0,None
1,Alabama,10181,2,3,0,None
1,Alabama,10181,2,4,0,None
1,Alabama,10182,1,1,0,None
1,Alabama,10183,1,1,0,None
1,Alabama,10183,2,1,0,None
1,Alabama,10184,1,1,0,None
1,Alabama,10185,1,1,0,None
1,Alabama,10185,1,2,0,None
1,Alabama,10186,0,1,0,None
1,Alabama,10186,1,1,0,None
1,Alabama,10187,1,1,0,None
1,Alabama,10187,1,2,0,None
1,Alabama,10188,1,1,0,None
1,Alabama,10190,0,1,0,None
1,Alabama,10190,1,1,0,None
1,Alabama,10191,1,1,0,None
1,Alabama,10192,1,1,0,None
1,Alabama,10192,2,1,0,None
1,Alabama,10192,2,2,0,None
1,Alabama,10192,3,1,0,None
1,Alabama,10192,3,2,0,None
1,Alabama,10192,3,3,0,None
1,Alabama,10193,1,1,0,None
1,Alabama,10193,1,2,0,None
1,Alabama,10193,2,1,0,None
1,Alabama,10194,1,1,0,None
1,Alabama,10195,0,1,0,None
1,Alabama,10195,0,2,0,None
1,Alabama,10195,0,3,0,None
1,Alabama,10195,1,1,0,None
1,Alabama,10195,1,2,0,None
1,Alabama,10196,1,1,0,None
1,Alabama,10197,1,1,0,None
1,Alabama,10197,1,2,0,None
1,Alabama,10197,1,3,0,None
1,Alabama,10197,1,4,0,None
1,Alabama,10197,1,5,0,None
1,Alabama,10197,2,1,0,None
1,Alabama,10197,2,2,0,None
1,Alabama,10198,1,1,0,None
1,Alabama,10198,2,1,0,None
1,Alabama,10199,1,1,0,None
1,Alabama,10199,2,1,0,None
1,Alabama,10199,2,2,0,None
1,Alabama,10199,3,1,0,None
1,Alabama,10199,4,1,0,None
1,Alabama,10200,1,1,0,None
1,Alabama,10200,2,1,0,None
1,Alabama,10201,1,1,0,None
1,Alabama,10201,2,1,0,None
1,Alabama,10202,1,1,0,None
1,Alabama,10203,1,1,0,None
1,Alabama,10204,1,1,0,None
1,Alabama,10204,1,2,0,None
1,Alabama,10204,1,3,0,None
1,Alabama,10204,1,4,0,None
1,Alabama,10205,1,1,0,None
1,Alabama,10206,1,1,0,None
1,Alabama,10206,1,2,0,None
1,Alabama,10207,1,1,0,None
1,Alabama,10207,1,2,0,None
1,Alabama,10207,2,1,0,None
1,Alabama,10207,2,2,0,None
1,Alabama,10207,2,3,0,None
1,Alabama,10208,1,1,0,None
1,Alabama,10209,0,1,0,None
1,Alabama,10209,1,1,0,None
1,Alabama,10210,1,1,0,None
1,Alabama,10211,1,1,0,None
1,Alabama,10211,2,1,0,None
1,Alabama,10211,2,2,0,None
1,Alabama,10211,2,3,0,None
1,Alabama,10211,2,4,0,None
1,Alabama,10212,1,1,0,None
1,Alabama,10212,1,2,0,None
1,Alabama,10213,1,1,0,None
1,Alabama,10213,1,2,0,None
1,Alabama,10214,1,1,0,None
1,Alabama,10215,1,1,0,None
1,Alabama,10216,1,1,0,None
1,Alabama,10217,1,1,0,None
1,Alabama,10217,1,2,0,None
1,Alabama,10218,1,1,0,None
1,Alabama,10218,1,2,0,None
1,Alabama,10218,1,3,0,None
1,Alabama,10218,2,1,0,None
1,Alabama,10218,2,2,0,None
1,Alabama,10219,1,1,0,None
1,Alabama,10219,1,2,0,None
1,Alabama,10220,1,1,0,None
1,Alabama,10220,1,2,0,None
1,Alabama,10221,1,1,0,None
1,Alabama,10221,1,2,0,None
1,Alabama,10222,1,1,0,None
1,Alabama,10222,2,1,0,None
1,Alabama,10223,1,1,0,None
1,Alabama,10224,1,1,0,None
1,Alabama,10225,1,1,0,None
1,Alabama,10226,1,1,0,None
1,Alabama,10226,2,1,0,None
1,Alabama,10227,1,1,0,None
1,Alabama,10227,1,2,0,None
1,Alabama,10227,1,3,0,None
1,Alabama,10227,1,4,0,None
1,Alabama,10227,1,5,0,None
1,Alabama,10227,1,6,0,None
1,Alabama,10228,1,1,0,None
1,Alabama,10228,1,2,0,None
1,Alabama,10228,2,1,0,None
1,Alabama,10228,2,2,0,None
1,Alabama,10229,1,1,0,None
1,Alabama,10229,1,2,0,None
1,Alabama,10230,1,1,0,None
1,Alabama,10231,1,1,0,None
1,Alabama,10231,1,2,0,None
1,Alabama,10232,1,1,0,None
1,Alabama,10232,2,1,0,None
1,Alabama,10232,2,2,0,None
1,Alabama,10232,2,3,0,None
1,Alabama,10232,2,4,0,None
1,Alabama,10233,1,1,0,None
1,Alabama,10233,1,2,0,None
1,Alabama,10233,2,1,0,None
1,Alabama,10234,1,1,0,None
1,Alabama,10235,1,1,0,None
1,Alabama,10236,1,1,0,None
1,Alabama,10236,2,1,0,None
1,Alabama,10236,2,2,0,None
1,Alabama,10237,1,1,0,None
1,Alabama,10238,0,1,0,None
1,Alabama,10238,1,1,0,None
1,Alabama,10239,0,1,0,None
1,Alabama,10239,1,1,0,None
1,Alabama,10239,2,1,0,None
1,Alabama,10240,1,1,0,None
1,Alabama,10240,2,1,0,None
1,Alabama,10240,2,2,0,None
1,Alabama,10240,2,3,0,None
1,Alabama,10240,2,4,0,None
1,Alabama,10240,2,5,0,None
1,Alabama,10240,2,6,0,None
1,Alabama,10242,0,1,0,None
1,Alabama,10242,1,1,0,None
1,Alabama,10243,0,1,0,None
1,Alabama,10243,1,1,0,None
1,Alabama,10243,1,2,0,None
1,Alabama,10244,1,1,0,None
1,Alabama,10245,1,1,0,None
1,Alabama,10245,2,1,0,None
1,Alabama,10245,2,2,0,None
1,Alabama,10245,2,3,0,None
1,Alabama,10246,1,1,0,None
1,Alabama,10246,1,2,0,None
1,Alabama,10247,1,1,0,None
1,Alabama,10248,0,1,0,None
1,Alabama,10248,1,1,0,None
1,Alabama,10248,1,2,0,None
1,Alabama,10248,1,3,0,None
1,Alabama,10249,1,1,0,None
1,Alabama,10249,1,2,0,None
1,Alabama,10249,2,1,0,None
1,Alabama,10249,3,1,0,None
1,Alabama,10250,1,1,0,None
1,Alabama,10251,1,1,0,None
1,Alabama,10251,1,2,0,None
1,Alabama,10252,1,1,0,None
1,Alabama,10252,2,1,0,None
1,Alabama,10253,1,1,0,None
1,Alabama,10253,1,2,0,None
1,Alabama,10254,1,1,0,None
1,Alabama,10254,1,2,0,None
1,Alabama,10255,1,1,0,None
1,Alabama,10255,2,1,0,None
1,Alabama,10256,1,1,0,None
1,Alabama,10256,1,2,0,None
1,Alabama,10256,2,1,0,None
1,Alabama,10256,2,2,0,None
1,Alabama,10257,1,1,0,None
1,Alabama,10257,1,2,0,None
1,Alabama,10257,1,3,0,None
1,Alabama,10257,2,1,0,None
1,Alabama,10258,1,1,0,None
1,Alabama,10259,1,1,0,None
1,Alabama,10260,1,1,0,None
1,Alabama,10260,2,1,0,None
1,Alabama,10260,3,1,0,None
1,Alabama,10261,0,1,0,None
1,Alabama,10261,0,2,0,None
1,Alabama,10261,1,1,0,None
1,Alabama,10262,1,1,0,None
1,Alabama,10263,1,1,0,None
1,Alabama,10263,2,1,0,None
1,Alabama,10264,1,1,0,None
1,Alabama,10264,1,2,0,None
1,Alabama,10264,2,1,0,None
1,Alabama,10265,1,1,0,None
1,Alabama,10266,1,1,0,None
1,Alabama,10267,1,1,0,None
1,Alabama,10267,2,1,0,None
1,Alabama,10267,2,2,0,None
1,Alabama,10267,2,3,0,None
1,Alabama,10267,2,4,0,None
1,Alabama,10267,2,5,0,None
1,Alabama,10267,3,1,0,None
1,Alabama,10267,3,2,0,None
1,Alabama,10267,3,3,0,None
1,Alabama,10267,3,4,0,None
1,Alabama,10267,3,5,0,None
1,Alabama,10267,3,6,0,None
1,Alabama,10267,3,7,0,None
1,Alabama,10268,1,1,0,None
1,Alabama,10268,1,2,0,None
1,Alabama,10268,1,3,0,None
1,Alabama,10268,2,1,0,None
1,Alabama,10269,0,1,0,None
1,Alabama,10269,1,1,0,None
1,Alabama,10270,0,1,0,None
1,Alabama,10270,1,1,0,None
1,Alabama,10271,1,1,0,None
1,Alabama,10271,1,2,0,None
1,Alabama,10272,1,1,0,None
1,Alabama,10272,1,2,0,None
1,Alabama,10272,1,3,0,None
1,Alabama,10272,1,4,0,None
1,Alabama,10272,2,1,0,None
1,Alabama,10273,1,1,0,None
1,Alabama,10273,2,1,0,None
1,Alabama,10273,2,2,0,None
1,Alabama,10273,2,3,0,None
1,Alabama,10274,1,1,0,None
1,Alabama,10275,1,1,0,None
1,Alabama,10276,1,1,0,None
1,Alabama,10276,1,2,0,None
1,Alabama,10276,1,3,0,None
1,Alabama,10276,2,1,0,None
1,Alabama,10277,1,1,0,None
1,Alabama,10277,2,1,0,None
1,Alabama,10277,2,2,0,None
1,Alabama,10278,1,1,0,None
1,Alabama,10278,2,1,0,None
1,Alabama,10279,1,1,0,None
1,Alabama,10279,2,1,0,None
1,Alabama,10279,3,1,0,None
1,Alabama,10279,4,1,0,None
1,Alabama,10280,1,1,0,None
1,Alabama,10281,1,1,0,None
1,Alabama,10282,1,1,0,None
1,Alabama,10282,1,2,0,None
1,Alabama,10282,2,1,0,None
1,Alabama,10283,1,1,0,None
1,Alabama,10283,1,2,0,None
1,Alabama,10284,1,1,0,None
1,Alabama,10285,1,1,0,None
1,Alabama,10285,1,2,0,None
1,Alabama,10285,1,3,0,None
1,Alabama,10285,1,4,0,None
1,Alabama,10286,1,1,0,None
1,Alabama,10287,1,1,0,None
1,Alabama,10288,1,1,0,None
1,Alabama,10288,2,1,0,None
1,Alabama,10289,1,1,0,None
1,Alabama,10289,1,2,0,None
1,Alabama,10290,1,1,0,None
1,Alabama,10291,1,1,0,None
1,Alabama,10292,1,1,0,None
1,Alabama,10292,2,1,0,None
1,Alabama,10292,2,2,0,None
1,Alabama,10293,1,1,0,None
1,Alabama,10293,2,1,0,None
1,Alabama,10294,1,1,0,None
1,Alabama,10294,1,2,0,None
1,Alabama,10294,2,1,0,None
1,Alabama,10294,2,2,0,None
1,Alabama,10295,1,1,0,None
1,Alabama,10296,1,1,0,None
1,Alabama,10296,1,2,0,None
1,Alabama,10296,2,1,0,None
1,Alabama,10297,1,1,0,None
1,Alabama,10298,1,1,0,None
1,Alabama,10298,2,1,0,None
1,Alabama,10299,1,1,0,None
1,Alabama,10299,1,2,0,None
1,Alabama,10300,1,1,0,None
1,Alabama,10300,1,2,0,None
1,Alabama,10300,1,3,0,None
1,Alabama,10300,1,4,0,None
1,Alabama,10300,1,5,0,None
1,Alabama,10300,1,6,0,None
1,Alabama,10300,2,1,0,None
1,Alabama,10301,1,1,0,None
1,Alabama,10301,2,1,0,None
1,Alabama,10301,2,2,0,None
1,Alabama,10302,1,1,0,None
1,Alabama,10303,1,1,0,None
1,Alabama,10303,2,1,0,None
1,Alabama,10304,1,1,0,None
1,Alabama,10304,1,2,0,None
1,Alabama,10305,1,1,0,None
1,Alabama,10305,2,1,0,None
1,Alabama,10305,2,2,0,None
1,Alabama,10306,1,1,0,None
1,Alabama,10306,2,1,0,None
1,Alabama,10306,2,2,0,None
1,Alabama,10307,1,1,0,None
1,Alabama,10308,0,1,0,None
1,Alabama,10308,1,1,0,None
1,Alabama,10309,0,1,0,None
1,Alabama,10309,1,1,0,None
1,Alabama,10310,0,1,0,None
1,Alabama,10310,1,1,0,None
1,Alabama,10311,1,1,0,None
1,Alabama,10311,1,2,0,None
1,Alabama,10311,2,1,0,None
1,Alabama,10311,2,2,0,None
1,Alabama,10312,1,1,0,None
1,Alabama,10312,2,1,0,None
1,Alabama,10312,2,2,0,None
1,Alabama,10313,1,1,0,None
1,Alabama,10313,2,1,0,None
1,Alabama,10313,2,2,0,None
1,Alabama,10314,1,1,0,None
1,Alabama,10314,1,2,0,None
1,Alabama,10314,1,3,0,None
1,Alabama,10314,2,1,0,None
1,Alabama,10314,2,2,0,None
1,Alabama,10315,1,1,0,None
1,Alabama,10315,1,2,0,None
1,Alabama,10315,2,1,0,None
1,Alabama,10316,1,1,0,None
1,Alabama,10316,1,2,0,None
1,Alabama,10316,2,1,0,None
1,Alabama,10316,2,2,0,None
1,Alabama,10316,2,3,0,None
1,Alabama,10317,1,1,0,None
1,Alabama,10317,1,2,0,None
1,Alabama,10317,1,3,0,None
1,Alabama,10317,2,1,0,None
1,Alabama,10318,1,1,0,None
1,Alabama,10319,1,1,0,None
1,Alabama,10319,2,1,0,None
1,Alabama,10320,0,1,0,None
