ST_CASE,VEH_NO,PER_NO,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
131140,1,1,0,0,0,0,0,0,0,0,0,0
131140,2,1,0,0,0,0,0,0,0,0,0,0
131141,1,1,0,0,0,0,0,0,0,0,0,0
131141,2,1,0,0,0,0,0,0,0,0,0,0
131142,0,1,0,0,0,0,0,33,0,0,0,0
131142,1,1,0,0,0,0,0,0,0,0,0,0
131142,2,1,14,0,0,0,9,0,2,7,0,0
131143,1,1,0,13,0,0,0,0,0,0,23,0
131143,2,1,0,0,0,0,0,0,0,0,0,0
131144,0,1,6,6,6,6,6,6,6,6,6,6
131144,1,1,0,0,13,0,0,0,0,0,0,0
131145,1,1,15,15,15,15,15,15,15,15,15,15
131146,1,1,0,0,0,0,0,0,0,0,0,0
131146,2,1,0,0,0,19,0,0,0,0,0,0
131147,1,1,0,0,0,0,0,0,19,0,0,5
131149,1,1,8,8,8,8,8,8,8,8,8,8
131150,1,1,0,0,26,0,0,0,0,0,0,0
131151,1,1,0,0,0,0,0,0,0,0,0,0
131151,2,1,0,0,0,0,0,0,0,0,0,0
131152,1,1,11,11,33,36,7,0,9,20,0,13
131153,0,1,0,0,37,0,0,0,0,0,0,0
131153,1,1,0,13,19,0,0,23,0,0,0,0
131154,1,1,0,0,0,0,0,0,0,0,0,0
131154,2,1,0,0,0,0,21,0,0,0,0,16
131156,1,1,0,0,0,0,0,0,0,0,0,17
131156,2,1,4,0,0,0,0,0,0,0,0,0
131157,1,1,0,0,0,0,25,0,0,0,0,0
131158,0,1,0,0,0,28,0,0,0,0,0,0
131158,1,1,0,0,0,0,0,0,0,0,0,0
131159,1,1,22,22,22,22,22,22,22,22,22,22
131160,1,1,0,0,0,0,0,0,0,0,0,0
131160,2,1,0,0,0,0,0,23,0,0,0,0
131161,0,1,0,0,0,28,0,0,0,0,0,0
131161,1,1,0,11,0,0,0,0,0,0,0,0
131162,1,1,5,5,5,5,5,5,5,5,5,5
131163,1,1,0,0,0,0,0,0,0,0,0,0
131163,2,1,0,0,0,0,0,0,0,0,0,0
131164,0,1,13,13,13,13,13,13,13,13,13,13
131164,2,1,0,0,0,0,0,17,0,0,10,0
131165,1,1,0,0,0,0,0,0,0,0,0,0
131165,2,1,0,0,0,0,0,0,0,0,0,0
131166,0,1,0,0,0,0,0,15,0,0,24,19
131166,1,1,0,0,0,0,0,0,0,0,0,0
131167,1,1,0,0,0,0,0,0,0,0,0,0
131167,2,1,0,0,20,7,0,0,0,7,0,0
131168,1,1,0,0,0,0,0,0,0,0,0,0
131169,1,1,0,0,0,11,0,0,0,0,36,0
131170,0,1,0,0,0,0,0,0,49,0,0,0
131170,1,1,0,0,0,0,0,0,0,0,0,29
131170,2,1,0,0,0,15,0,0,0,0,0,0
131171,1,1,2,2,2,2,2,2,2,2,2,2
131172,1,1,0,0,0,0,0,0,0,0,0,0
131172,2,1,0,0,0,15,0,0,0,0,0,0
131173,1,1,22,7,23,13,19,8,0,10,0,18
131173,2,1,0,0,0,0,0,0,0,0,0,0
131174,1,1,0,0,0,0,0,0,0,0,0,0
131174,2,1,0,0,0,0,0,0,0,0,0,0
131175,0,1,0,0,0,0,0,0,0,0,0,0
131175,1,1,0,0,0,0,0,0,12,0,0,0
131176,1,1,10,0,0,0,0,0,0,0,0,0
131176,2,1,0,0,0,0,0,0,0,0,0,0
131177,0,1,0,0,0,0,0,0,0,0,0,0
131177,1,1,0,0,0,0,0,0,0,0,0,0
131178,1,1,0,0,0,0,0,0,0,0,0,0
131178,2,1,0,0,0,0,0,0,0,0,0,0
131179,0,1,0,0,0,0,0,0,0,0,0,0
131179,1,1,9,9,9,9,9,9,9,9,9,9
131179,2,1,0,0,0,0,0,0,0,0,0,0
131180,1,1,0,0,0,4,0,0,25,0,8,9
131182,1,1,0,0,0,0,0,0,0,0,0,0
131183,1,1,0,0,0,0,0,0,0,0,0,0
131183,2,1,0,0,0,0,0,0,0,0,0,0
131185,0,1,25,25,25,25,25,25,25,25,25,25
131185,1,1,16,0,22,0,9,16,0,10,0,18
131186,1,1,12,9,16,14,20,14,9,19,16,7
131186,2,1,13,15,17,12,20,15,20,24,59,17
131187,1,1,0,0,0,0,8,0,0,0,0,0
131187,2,1,5,0,0,0,0,0,0,24,0,0
131188,1,1,0,0,0,0,0,0,0,0,0,9
131188,2,1,1,1,1,1,1,1,1,1,1,1
131189,1,1,0,0,0,0,0,0,0,0,0,0
131189,2,1,18,18,18,18,18,18,18,18,18,18
131191,1,1,0,0,0,0,0,0,0,0,0,13
131191,2,1,0,0,0,0,0,0,0,0,6,0
131192,0,1,0,0,0,0,0,0,0,0,0,0
131192,1,1,5,0,0,9,12,0,0,12,8,17
131193,0,1,0,39,0,0,0,25,0,0,43,0
131193,1,1,0,0,0,0,0,18,0,23,0,0
131193,2,1,0,14,3,0,0,9,0,9,13,0
131193,3,1,0,6,0,10,2,0,0,12,0,2
131194,1,1,29,0,11,0,0,0,0,0,0,0
131196,1,1,0,0,0,0,0,0,0,0,0,0
131197,1,1,0,11,22,0,0,0,0,0,0,9
131198,1,1,0,0,0,0,0,0,0,0,0,0
131198,2,1,0,0,0,0,0,0,0,0,0,0
131199,1,1,13,9,11,9,0,10,7,12,17,16
131202,1,1,0,0,0,0,0,0,0,0,0,0
131202,2,1,23,48,37,8,16,0,11,0,11,17
131205,1,1,0,0,0,0,0,0,0,0,6,0
131205,2,1,0,0,0,0,0,0,0,0,0,0
131205,3,1,0,0,0,0,0,0,0,0,0,0
131206,0,1,26,0,0,0,0,0,0,0,13,0
131206,1,1,0,0,0,0,0,0,0,0,0,0
131208,1,1,28,28,28,28,28,28,28,28,28,28
131209,0,1,0,0,0,0,0,8,0,0,0,29
131209,1,1,10,0,11,0,0,0,0,20,0,0
131210,1,1,30,0,0,10,28,11,0,0,0,0
131210,2,1,0,0,0,0,0,0,0,0,17,0
131211,1,1,0,0,5,0,0,0,0,0,0,0
131211,2,1,0,0,0,0,0,0,0,0,0,0
131212,1,1,27,27,27,27,27,27,27,27,27,27
131212,2,1,27,27,27,27,27,27,27,27,27,27
131212,3,1,0,0,0,0,0,17,3,0,0,0
131213,0,1,0,0,0,22,0,0,0,23,0,0
131213,1,1,0,0,0,0,0,0,0,0,0,0
131214,1,1,0,0,0,0,0,0,0,0,0,0
131215,1,1,0,0,0,0,0,0,0,0,0,5
131216,1,1,0,25,11,6,11,0,0,0,0,0
131216,2,1,9,21,20,15,0,17,15,17,0,30
131216,3,1,0,0,0,0,0,0,0,0,0,0
131217,1,1,0,20,0,0,0,0,7,0,13,0
131218,1,1,20,16,21,10,0,11,22,14,3,6
131218,2,1,0,0,0,0,0,0,0,0,0,0
131219,1,1,32,32,32,32,32,32,32,32,32,32
131220,1,1,0,0,5,0,0,0,0,0,0,26
131221,1,1,0,0,0,0,0,0,0,0,0,0
131221,2,1,0,0,0,0,0,0,0,0,0,0
131223,0,1,27,13,8,19,16,7,13,39,31,18
131223,1,1,0,0,0,11,0,0,0,0,0,0
131225,1,1,0,18,0,0,0,17,0,0,0,0
131226,0,1,0,0,0,0,0,0,0,0,0,0
131226,1,1,0,0,0,0,0,0,0,0,0,0
131227,1,1,9,14,34,21,6,34,11,13,22,12
131228,1,1,0,0,0,0,0,0,0,0,0,0
131228,2,1,0,0,0,0,0,12,0,0,0,0
131229,0,1,0,0,29,0,0,0,0,0,0,35
131229,1,1,0,8,0,0,0,0,0,0,0,0
131230,1,1,0,0,0,0,0,0,0,0,0,0
131230,2,1,0,0,0,0,0,0,0,0,0,0
131231,1,1,0,0,0,0,23,0,0,0,0,11
131232,0,1,0,17,0,0,0,0,0,0,0,0
131232,1,1,0,0,0,0,0,0,0,0,0,0
131234,0,1,27,27,27,27,27,27,27,27,27,27
131234,1,1,0,0,0,0,27,0,0,0,0,0
131235,1,1,0,0,0,0,0,0,0,0,0,0
131235,2,1,0,0,0,0,0,0,0,0,0,0
131236,1,1,0,0,0,0,0,0,0,0,0,0
131236,2,1,0,0,0,0,0,0,0,0,0,0
131237,1,1,24,24,24,24,24,24,24,24,24,24
131237,2,1,14,0,0,0,0,0,26,20,0,0
131237,3,1,10,0,0,6,0,5,0,19,10,19
131238,1,1,33,33,33,33,33,33,33,33,33,33
131239,1,1,0,0,0,0,0,5,0,0,24,17
131240,1,1,0,0,0,0,0,0,0,10,0,0
131241,0,1,0,9,0,0,0,0,15,19,0,27
131241,1,1,0,0,0,0,0,0,0,0,0,0
131242,1,1,0,0,0,0,0,0,0,0,0,0
131242,2,1,0,0,0,0,7,0,0,0,0,0
131243,1,1,0,0,0,0,0,0,2,0,0,0
131243,2,1,0,0,0,0,0,0,0,0,0,0
131244,1,1,0,0,0,0,0,0,0,0,0,0
131244,2,1,0,0,0,0,0,0,0,0,0,0
131245,1,1,0,0,0,0,0,0,0,0,0,0
131245,2,1,0,0,0,0,0,0,0,0,0,0
131246,1,1,0,11,0,0,0,0,0,0,0,7
131246,2,1,13,0,0,0,14,0,0,20,18,13
131247,0,1,0,0,0,0,0,0,0,0,0,0
131247,1,1,0,0,0,0,0,0,0,0,0,0
131248,1,1,0,0,0,0,0,0,0,0,0,0
131249,1,1,0,0,0,0,0,0,0,0,0,0
131250,1,1,0,0,8,0,0,0,0,0,0,0
131250,2,1,0,0,0,0,0,0,0,0,0,0
131251,1,1,0,0,0,0,0,0,0,0,0,0
131251,2,1,0,0,0,0,0,0,0,0,0,0
131252,1,1,24,24,24,24,24,24,24,24,24,24
131253,0,1,24,23,27,28,13,11,10,26,16,16
131253,1,1,0,7,0,0,0,0,0,0,0,0
131254,0,1,0,0,0,0,0,0,0,0,0,0
131254,1,1,23,0,0,0,0,0,0,11,9,0
131255,1,1,0,0,30,0,0,0,0,0,0,0
131255,2,1,0,0,0,0,0,0,0,0,0,0
131255,3,1,0,0,0,8,0,0,0,0,0,0
131256,1,1,0,0,0,0,0,0,0,0,0,0
131256,2,1,0,0,0,0,0,0,0,0,0,0
131258,1,1,1,1,1,1,1,1,1,1,1,1
131259,1,1,9,26,32,24,12,11,27,21,16,14
131260,0,1,0,0,0,0,0,0,0,0,0,0
131260,1,1,0,0,0,0,0,0,0,0,0,0
131261,1,1,0,0,0,0,0,0,0,0,0,0
131261,2,1,0,0,0,0,0,0,0,0,0,0
131262,0,1,19,27,13,11,16,15,16,66,28,11
131262,1,1,0,0,0,0,0,0,0,0,0,0
131263,1,1,0,0,0,0,0,0,0,0,0,0
131264,1,1,0,0,0,0,0,0,0,0,0,0
131264,2,1,0,0,0,0,0,0,0,0,0,0
131265,1,1,0,0,0,0,0,0,0,0,5,0
131265,2,1,0,0,0,0,0,0,0,0,0,0
131266,0,1,0,0,0,0,0,0,0,0,0,0
131266,1,1,0,0,0,0,0,0,0,0,0,0
131266,2,1,0,0,0,0,0,0,0,0,0,0
131267,0,1,0,0,0,0,0,0,0,0,0,0
131267,1,1,0,0,0,9,0,0,0,0,0,0
131268,1,1,0,20,0,0,17,27,13,28,0,11
131269,0,1,33,23,0,0,0,0,0,0,0,0
131269,1,1,0,0,0,0,0,0,0,0,0,0
131270,1,1,0,20,0,14,0,0,0,0,0,0
131270,2,1,1,1,1,1,1,1,1,1,1,1
131272,1,1,0,0,14,0,0,0,0,0,28,7
131273,0,1,0,12,0,12,0,0,38,0,0,32
131273,1,1,0,0,0,0,0,0,0,0,0,0
131274,1,1,0,0,0,0,0,0,0,0,0,0
131275,1,1,0,0,0,0,0,0,0,0,0,0
131276,1,1,17,25,24,10,5,36,0,22,20,25
131276,2,1,21,34,11,34,14,8,19,0,16,19
131276,3,1,17,14,15,22,7,0,14,21,14,7
131277,1,1,0,0,15,0,0,0,0,0,8,28
131277,2,1,0,0,0,0,0,0,0,0,0,0
131278,0,1,0,0,0,0,0,0,0,13,0,39
131278,1,1,0,0,0,0,0,0,0,0,0,0
131280,1,1,0,0,0,0,0,0,0,0,0,0
131280,2,1,0,0,0,0,0,0,24,0,0,0
131281,1,1,0,0,0,0,0,0,0,0,0,0
131282,1,1,0,17,0,30,20,29,5,0,19,20
131282,2,1,0,0,0,0,0,0,0,0,0,0
131282,3,1,0,0,0,16,0,0,0,7,0,0
131283,1,1,0,19,0,15,0,0,0,0,0,0
131283,2,1,0,0,0,0,0,0,0,0,0,0
131284,1,1,0,0,0,0,0,0,0,0,0,0
131285,1,1,0,0,0,0,0,0,0,0,0,0
131285,2,1,0,0,0,19,0,10,0,0,0,0
131286,1,1,0,0,0,0,29,0,0,0,0,0
131286,2,1,4,0,7,6,10,0,0,4,0,33
131287,0,1,0,0,0,0,0,0,0,0,0,35
131287,1,1,0,0,9,0,0,0,0,0,0,14
131288,1,1,0,0,0,0,0,0,0,0,0,0
131289,1,1,12,12,12,12,12,12,12,12,12,12
131290,1,1,0,0,0,16,0,0,0,0,0,0
131291,1,1,6,6,6,6,6,6,6,6,6,6
131292,0,1,30,0,0,0,0,0,0,0,0,0
131292,1,1,0,0,0,0,0,0,0,0,0,0
131293,1,1,0,0,0,0,0,0,0,0,0,0
131293,2,1,0,0,0,0,0,0,14,0,0,0
131294,1,1,13,13,13,13,13,13,13,13,13,13
131294,2,1,0,0,0,0,0,0,29,0,0,0
131295,0,1,0,0,0,0,0,0,0,0,0,0
131295,1,1,0,0,0,0,0,0,0,0,0,0
131296,1,1,0,0,0,0,0,0,21,0,10,0
131296,2,1,0,0,0,0,0,0,0,0,0,0
131296,3,1,0,0,0,0,0,0,0,0,0,21
131297,1,1,0,0,0,0,0,0,0,0,0,0
131297,2,1,0,0,0,0,0,0,0,0,0,0
131298,1,1,0,0,12,0,0,0,20,13,0,0
131299,1,1,29,10,19,7,23,7,16,22,9,13
131299,2,1,0,0,0,0,0,0,0,0,0,0
131299,3,1,0,0,0,0,0,6,0,0,0,0
131300,0,1,13,0,0,0,0,0,0,0,0,0
131300,1,1,0,0,0,0,0,12,0,0,0,0
131301,1,1,0,0,0,0,0,0,0,0,0,0
131301,2,1,0,0,0,0,0,0,0,0,0,0
131302,0,1,0,0,0,0,0,0,0,0,0,0
131302,1,1,19,15,0,0,0,0,0,0,0,0
131303,1,1,0,0,0,0,0,0,0,0,0,0
131303,2,1,0,0,0,0,20,7,0,0,0,0
131304,1,1,0,0,0,0,0,0,0,0,0,0
131304,2,1,0,0,0,14,0,0,0,0,0,0
131304,3,1,0,0,0,0,0,0,0,0,0,0
131305,1,1,0,0,0,0,0,0,0,0,0,0
131305,2,1,0,0,0,0,0,0,0,0,0,0
131306,0,1,31,31,31,31,31,31,31,31,31,31
131306,1,1,0,2,6,27,21,0,18,31,0,20
131307,1,1,18,0,0,11,0,0,0,0,0,11
131308,1,1,0,0,0,0,0,0,0,0,0,0
131308,2,1,0,0,0,0,0,0,0,0,0,0
131309,0,1,10,23,11,0,0,31,0,0,24,0
131309,1,1,0,0,0,0,0,0,0,0,0,0
131310,1,1,0,11,0,0,4,0,0,0,0,0
131310,2,1,0,0,0,0,0,0,0,0,0,0
131310,3,1,0,0,0,0,0,0,0,0,0,0
131312,1,1,22,22,22,22,22,22,22,22,22,22
131312,2,1,0,0,0,0,0,0,0,0,0,0
131313,1,1,0,0,0,0,0,0,0,0,0,0
131313,2,1,0,0,0,0,0,0,0,0,0,0
131314,1,1,0,0,0,0,0,0,0,0,0,0
131314,2,1,0,0,0,0,0,0,0,0,0,0
131315,1,1,0,0,0,0,0,13,0,0,0,0
131316,1,1,0,0,0,0,0,0,0,0,0,7
131317,1,1,0,0,0,0,0,0,0,0,0,0
131317,2,1,0,0,0,0,0,0,0,0,0,0
131318,1,1,0,0,0,0,0,0,0,0,0,0
131319,1,1,15,0,23,19,8,15,11,43,18,15
131319,2,1,11,22,0,25,22,15,13,25,0,19
131319,3,1,22,11,4,15,14,0,18,25,28,12
131319,4,1,28,20,0,13,14,14,18,10,20,17
131320,0,1,0,0,0,0,0,0,0,0,0,0
131320,1,1,0,0,0,0,15,0,0,0,0,0
131321,1,1,0,0,0,0,0,0,0,0,8,0
131321,2,1,0,0,0,0,0,0,0,0,0,0
131322,1,1,0,0,0,0,0,0,0,0,0,0
131323,1,1,0,0,0,0,0,0,0,0,0,0
131323,2,1,0,0,0,0,0,0,0,0,25,0
131324,0,1,0,38,0,0,0,0,0,0,0,31
131324,1,1,0,0,0,0,0,0,0,0,0,0
131325,1,1,21,21,21,21,21,21,21,21,21,21
131326,1,1,0,0,0,0,0,0,0,0,0,0
131326,2,1,0,0,0,0,0,0,0,0,0,0
131328,0,1,0,0,0,0,0,0,0,0,0,0
131328,1,1,0,0,0,0,0,12,0,0,0,0
131329,1,1,9,0,0,0,0,0,0,0,0,0
131330,1,1,22,22,22,22,22,22,22,22,22,22
131330,2,1,1,1,1,1,1,1,1,1,1,1
131331,1,1,0,0,0,0,9,17,0,0,0,0
131332,1,1,23,18,0,11,12,16,13,12,6,33
131333,0,1,0,0,0,35,0,0,20,0,0,0
131333,1,1,0,0,0,0,0,21,0,0,0,0
131334,1,1,15,7,10,21,22,0,0,22,19,25
131334,2,1,0,0,0,0,0,0,0,0,0,0
131335,1,1,0,0,0,0,0,0,0,0,0,0
131335,2,1,0,0,0,0,0,0,0,0,28,0
131335,3,1,0,0,0,0,4,0,0,0,0,0
131335,4,1,0,0,0,0,0,0,0,0,0,0
131336,1,1,0,0,0,0,0,0,0,0,0,0
131336,2,1,0,0,0,0,0,0,0,0,0,0
131337,1,1,0,6,0,0,0,0,8,28,9,0
131337,2,1,0,0,0,0,0,0,0,0,0,0
131337,3,1,0,0,0,0,0,0,0,0,0,0
131338,1,1,0,0,0,0,0,0,0,0,0,0
131339,1,1,0,0,0,14,0,0,0,0,0,0
131339,2,1,0,0,0,0,0,0,0,0,0,0
131340,1,1,17,10,15,16,8,0,0,8,17,2
131340,2,1,0,0,0,0,9,0,0,0,0,0
131341,1,1,17,17,17,17,17,17,17,17,17,17
131341,2,1,0,0,0,0,0,11,0,0,0,0
131342,1,1,17,17,17,17,17,17,17,17,17,17
131342,2,1,0,0,0,0,0,0,0,0,0,0
131343,1,1,0,4,0,0,0,0,0,0,0,0
131344,1,1,0,0,0,0,0,0,0,0,0,0
131344,2,1,0,0,0,0,0,0,0,0,0,0
131345,1,1,0,3,0,0,0,0,0,0,0,0
131347,1,1,0,0,0,0,9,14,0,0,0,15
131347,2,1,0,0,0,0,11,0,0,0,0,18
131347,3,1,15,0,0,0,0,15,0,0,0,0
131347,4,1,0,0,0,0,0,0,0,0,0,0
131347,5,1,0,0,8,0,0,0,0,0,0,0
131348,1,1,0,0,0,0,35,0,12,14,13,33
131348,2,1,17,0,0,0,0,17,0,0,0,29
131351,1,1,0,0,0,0,0,0,0,0,0,0
131352,0,1,0,0,0,0,0,0,0,0,0,0
131352,1,1,0,0,0,0,0,0,0,0,0,9
131353,1,1,0,0,0,0,0,0,0,0,0,0
131353,2,1,0,0,0,0,0,0,0,0,0,0
131354,1,1,25,32,14,23,33,17,13,24,11,22
131355,1,1,0,0,0,0,0,0,0,0,0,0
131355,2,1,0,0,0,0,0,0,0,0,0,0
131356,1,1,0,0,0,27,0,0,0,39,0,0
131356,2,1,0,4,21,0,0,0,12,0,0,0
131357,1,1,0,0,0,0,0,0,0,0,0,0
131357,2,1,0,0,0,0,0,0,0,0,0,0
131359,1,1,19,19,19,19,19,19,19,19,19,19
131360,1,1,1,1,1,1,1,1,1,1,1,1
131361,1,1,0,0,0,0,0,0,0,0,0,0
131362,1,1,29,29,29,29,29,29,29,29,29,29
131363,1,1,20,20,20,20,20,20,20,20,20,20
131364,1,1,0,19,0,0,25,0,0,0,34,0
131364,2,1,0,0,14,0,0,0,0,0,0,0
131365,1,1,8,8,8,8,8,8,8,8,8,8
131365,2,1,0,0,0,0,0,0,0,0,0,0
131365,3,1,11,0,0,0,0,18,0,0,0,0
131365,4,1,0,0,0,0,0,14,0,0,0,0
131366,1,1,0,0,0,0,0,0,0,7,0,0
131366,2,1,0,0,0,0,0,0,0,0,0,0
131367,1,1,0,0,0,0,0,0,8,0,0,6
131367,2,1,0,12,0,0,0,15,0,0,0,0
131367,3,1,0,0,0,0,0,0,0,0,0,0
131368,1,1,0,0,0,0,0,0,0,0,0,0
131368,2,1,0,0,0,0,0,0,0,0,0,0
131369,1,1,0,0,0,0,0,0,0,0,0,0
131369,2,1,0,0,0,0,0,0,0,0,0,0
131370,1,1,18,18,18,18,18,18,18,18,18,18
131370,2,1,0,0,0,0,0,0,0,0,0,0
131370,3,1,0,0,0,0,0,0,29,9,0,0
131372,1,1,17,8,13,3,15,27,19,24,10,0
131372,2,1,0,0,0,0,0,24,0,0,0,0
131373,1,1,0,0,0,0,0,0,0,0,0,21
131373,2,1,0,0,0,0,0,22,0,0,0,0
131374,1,1,0,0,0,0,0,0,0,0,0,0
131375,1,1,32,32,32,32,32,32,32,32,32,32
131375,2,1,0,0,0,0,0,0,0,0,0,0
131377,1,1,0,0,0,0,0,0,0,0,0,0
131377,2,1,0,0,0,11,0,0,0,0,0,0
131378,1,1,0,0,0,0,0,0,0,0,0,0
131378,2,1,0,0,0,0,0,0,0,0,0,0
131378,3,1,0,0,0,0,0,0,0,0,0,0
131378,4,1,0,0,0,0,0,0,0,0,0,0
131379,1,1,0,0,0,0,0,0,0,0,0,0
131379,2,1,0,0,0,0,0,0,0,0,0,0
131380,1,1,0,0,0,0,0,0,0,0,0,0
131381,1,1,0,0,0,0,0,0,0,0,0,0
131381,2,1,0,0,0,0,0,0,0,0,0,0
131382,1,1,0,0,0,0,0,0,0,0,0,0
131382,2,1,0,0,0,0,0,0,0,0,0,0
131383,1,1,0,0,0,0,0,0,0,0,0,0
131383,2,1,0,0,0,0,0,0,0,3,0,0
131384,1,1,0,0,0,0,0,0,0,0,0,0
131384,2,1,0,0,0,0,0,0,0,0,0,0
131385,1,1,0,17,11,0,0,0,0,0,12,25
131386,1,1,0,0,0,0,0,0,0,0,0,0
131386,2,1,0,0,0,0,0,0,0,0,0,0
131387,0,1,30,0,0,0,17,0,0,25,0,0
131387,1,1,0,0,0,0,0,0,0,0,0,0
131388,1,1,0,0,0,0,0,14,17,12,5,13
131388,2,1,6,0,5,9,8,5,0,0,10,0
131389,0,1,0,0,0,0,0,0,0,0,0,0
131389,1,1,8,0,0,31,14,0,22,0,8,0
131390,1,1,0,13,25,0,0,11,4,9,29,0
131391,1,2,14,13,11,0,19,5,22,15,22,10
131392,1,1,0,0,0,0,0,0,0,0,0,0
131392,2,1,0,0,0,0,0,0,0,0,0,0
131393,1,1,17,18,24,17,0,0,8,24,0,0
131394,0,1,0,0,0,0,0,0,0,0,0,0
131395,1,1,0,0,0,0,0,0,0,0,0,0
131395,2,1,0,0,0,0,0,0,0,0,0,0
131396,1,1,0,9,0,0,0,0,0,0,22,24
131397,1,1,25,0,9,0,24,0,0,0,0,0
131398,1,1,0,0,0,0,0,0,0,0,0,0
131399,1,1,0,0,0,0,0,0,0,0,0,0
131399,2,1,0,0,0,0,9,0,0,0,0,0
131399,3,1,0,0,0,0,0,0,0,0,0,0
131399,4,1,0,0,0,0,0,0,0,0,0,0
131400,0,1,0,0,7,0,0,0,0,0,0,0
131400,1,1,0,0,0,0,0,0,0,0,0,0
131401,1,1,0,0,0,0,0,0,0,0,0,0
131402,1,1,17,17,17,17,17,17,17,17,17,17
131404,0,1,33,21,17,16,20,31,22,22,29,20
131404,1,1,0,0,0,0,0,0,0,0,0,0
131405,0,1,0,12,0,0,0,0,0,0,0,0
131405,1,1,0,0,0,0,0,0,0,0,0,0
131406,0,1,0,0,0,0,0,0,0,0,0,0
131406,1,1,0,0,0,0,0,0,0,0,0,0
131407,1,1,0,0,0,0,0,0,0,0,0,0
131407,2,1,0,0,0,0,0,0,0,0,0,0
131408,0,1,0,0,0,20,0,14,28,0,0,0
131408,1,1,0,0,0,0,0,0,0,0,0,0
131408,2,1,0,0,0,0,0,0,0,0,11,0
131409,1,1,0,0,0,0,0,0,0,0,0,0
131409,2,1,0,0,0,0,0,0,0,0,0,0
131410,1,1,0,10,9,12,18,20,0,0,0,0
131411,1,1,22,22,22,22,22,22,22,22,22,22
131412,1,1,0,0,0,0,0,0,0,0,0,0
131412,2,1,8,0,0,0,0,18,0,0,0,0
131413,0,1,29,0,0,0,0,0,0,28,0,0
131413,1,1,0,0,0,0,0,0,0,0,0,0
131414,1,1,12,12,12,12,12,12,12,12,12,12
131414,2,1,0,0,0,0,0,0,0,0,0,0
131414,3,1,0,0,0,0,0,0,0,0,0,0
131414,4,1,0,0,0,0,0,0,0,0,0,0
131415,1,1,16,33,18,10,45,14,15,25,10,17
131415,2,1,0,0,0,0,0,0,0,0,0,0
131416,1,1,0,0,0,0,0,0,0,0,0,0
131416,2,1,8,15,0,8,11,8,18,0,16,14
131417,1,1,17,15,15,9,8,25,19,0,30,13
131417,2,1,0,0,0,0,0,0,0,0,27,0
131418,1,1,0,24,18,0,0,0,0,0,12,0
131419,1,1,0,0,0,0,0,0,0,0,0,0
131419,2,1,0,0,0,0,0,0,0,0,0,0
131420,1,1,0,0,25,0,0,0,0,0,0,17
131421,1,1,0,0,0,18,0,0,0,0,24,0
131421,2,1,0,0,0,0,0,5,0,0,0,0
131422,1,1,0,0,0,0,0,0,0,0,0,0
131422,2,1,0,0,0,0,0,0,0,0,0,0
131422,3,1,0,0,0,0,0,0,0,0,0,0
131422,4,1,0,6,0,0,0,0,0,3,7,0
131422,5,1,0,0,0,8,0,0,0,0,0,0
131423,1,1,20,20,20,20,20,20,20,20,20,20
131424,0,1,24,24,24,24,24,24,24,24,24,24
131424,1,1,0,0,0,0,0,0,0,0,0,0
131424,2,1,0,0,0,0,0,0,0,0,0,0
131425,1,1,0,0,0,0,0,0,0,0,0,0
131426,1,1,0,0,0,0,0,0,0,0,0,0
131426,2,1,0,0,0,0,0,0,0,0,0,0
131427,1,1,0,0,15,25,13,13,21,20,8,9
131428,1,1,0,0,0,0,0,0,0,0,0,0
131428,2,1,0,0,0,0,0,0,0,10,0,14
131428,3,1,0,0,0,0,0,0,0,0,0,0
131429,1,1,0,0,0,0,0,0,0,0,0,0
131430,1,1,0,0,0,0,0,0,0,0,0,0
131431,1,1,0,0,0,0,0,0,0,0,0,0
131432,1,1,14,0,12,6,5,16,18,17,17,17
131432,2,1,19,0,9,0,0,0,0,0,18,0
131433,1,1,2,7,25,13,13,18,25,11,11,13
131434,1,1,0,0,0,0,0,0,0,0,0,0
131434,2,1,0,0,0,0,0,0,0,0,0,0
131435,1,1,16,43,15,13,16,21,21,18,3,6
131436,0,1,2,11,0,0,21,0,0,25,38,0
131436,1,1,0,33,0,11,32,10,16,13,0,0
131436,2,1,0,31,0,0,22,0,0,0,0,0
131437,1,1,13,13,13,13,13,13,13,13,13,13
131437,2,1,0,0,0,0,0,0,0,0,0,0
131440,1,1,0,0,3,8,8,20,0,10,14,18
131441,1,1,0,8,0,0,0,0,0,0,0,0
131442,1,1,0,0,12,0,0,0,0,0,0,0
131443,1,1,1,32,18,4,38,18,0,17,20,22
131444,1,1,29,0,17,0,0,0,0,0,0,0
131445,1,1,20,20,20,20,20,20,20,20,20,20
131446,1,1,0,0,0,0,0,0,0,0,0,0
131446,2,1,0,0,0,0,0,0,0,0,0,0
131447,1,1,0,0,0,0,0,0,0,0,22,0
131447,2,1,0,0,0,0,0,7,16,0,0,0
131448,1,2,0,0,0,0,0,0,0,0,0,0
131448,2,1,0,0,0,0,0,0,0,0,0,0
131449,0,1,0,0,0,0,0,0,0,22,27,0
131449,1,1,0,0,0,0,0,0,0,0,0,0
131450,1,3,0,0,0,0,0,0,0,0,0,0
131451,1,1,0,0,0,0,0,0,0,0,0,0
131451,2,1,0,0,0,0,0,0,0,0,0,0
131451,3,1,0,0,0,0,0,0,0,0,31,0
131451,4,1,0,0,0,0,0,0,0,0,0,0
