STATE,STATENAME,ST_CASE,VEH_NO,PER_NO,NMCC,NMCCNAME
1,Alabama,10209,0,1,0,None Noted
1,Alabama,10238,0,1,2,Failure to Yield Right-Of-Way
1,Alabama,10238,0,1,11,"Dash - Run, No Visual Obstruction Noted"
1,Alabama,10239,0,1,6,"Inattentive (Talking, Eating, Etc.)"
1,Alabama,10242,0,1,2,Failure to Yield Right-Of-Way
1,Alabama,10243,0,1,2,Failure to Yield Right-Of-Way
1,Alabama,10243,0,1,6,"Inattentive (Talking, Eating, Etc.)"
1,Alabama,10243,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
1,Alabama,10248,0,1,2,Failure to Yield Right-Of-Way
1,Alabama,10261,0,1,9,Wrong-Way Riding or Walking
1,Alabama,10261,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
1,Alabama,10261,0,2,9,Wrong-Way Riding or Walking
1,Alabama,10261,0,2,19,"Not Visible (Dark clothing, No Lighting, etc.)"
1,Alabama,10269,0,1,2,Failure to Yield Right-Of-Way
1,Alabama,10269,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
1,Alabama,10270,0,1,9,Wrong-Way Riding or Walking
1,Alabama,10270,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
1,Alabama,10308,0,1,2,Failure to Yield Right-Of-Way
1,Alabama,10309,0,1,9,Wrong-Way Riding or Walking
1,Alabama,10309,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
1,Alabama,10310,0,1,9,Wrong-Way Riding or Walking
1,Alabama,10310,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
1,Alabama,10320,0,1,0,None Noted
1,Alabama,10334,0,1,2,Failure to Yield Right-Of-Way
1,Alabama,10334,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
1,Alabama,10347,0,1,2,Failure to Yield Right-Of-Way
1,Alabama,10347,0,1,11,"Dash - Run, No Visual Obstruction Noted"
1,Alabama,10348,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
1,Alabama,10353,0,1,2,Failure to Yield Right-Of-Way
1,Alabama,10361,0,1,9,Wrong-Way Riding or Walking
1,Alabama,10361,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
1,Alabama,10364,0,1,2,Failure to Yield Right-Of-Way
1,Alabama,10364,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
1,Alabama,10376,0,1,2,Failure to Yield Right-Of-Way
1,Alabama,10391,0,1,2,Failure to Yield Right-Of-Way
1,Alabama,10392,0,1,11,"Dash - Run, No Visual Obstruction Noted"
1,Alabama,10401,0,1,0,None Noted
1,Alabama,10413,0,1,11,"Dash - Run, No Visual Obstruction Noted"
1,Alabama,10413,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
1,Alabama,10428,0,1,21,Other (Specify:)
1,Alabama,10440,0,1,11,"Dash - Run, No Visual Obstruction Noted"
1,Alabama,10441,0,1,2,Failure to Yield Right-Of-Way
1,Alabama,10443,0,1,2,Failure to Yield Right-Of-Way
1,Alabama,10445,0,1,0,None Noted
1,Alabama,10446,0,1,4,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
1,Alabama,10449,0,1,4,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
1,Alabama,10462,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
1,Alabama,10462,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
1,Alabama,10465,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
1,Alabama,10469,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
1,Alabama,10470,0,1,4,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
1,Alabama,10471,0,1,0,None Noted
1,Alabama,10471,0,2,0,None Noted
1,Alabama,10472,0,1,2,Failure to Yield Right-Of-Way
1,Alabama,10472,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
1,Alabama,10484,0,1,2,Failure to Yield Right-Of-Way
1,Alabama,10484,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
1,Alabama,10490,0,1,0,None Noted
1,Alabama,10504,0,1,4,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
1,Alabama,10508,0,1,2,Failure to Yield Right-Of-Way
1,Alabama,10508,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
1,Alabama,10513,0,1,2,Failure to Yield Right-Of-Way
1,Alabama,10548,0,1,2,Failure to Yield Right-Of-Way
1,Alabama,10554,0,1,9,Wrong-Way Riding or Walking
1,Alabama,10554,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
1,Alabama,10558,0,1,11,"Dash - Run, No Visual Obstruction Noted"
1,Alabama,10574,0,1,0,None Noted
1,Alabama,10578,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
1,Alabama,10580,0,1,2,Failure to Yield Right-Of-Way
1,Alabama,10580,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
1,Alabama,10581,0,1,2,Failure to Yield Right-Of-Way
1,Alabama,10581,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
1,Alabama,10594,0,1,2,Failure to Yield Right-Of-Way
1,Alabama,10594,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
1,Alabama,10601,0,1,99,Reported as Unknown
1,Alabama,10616,0,1,0,None Noted
1,Alabama,10633,0,1,11,"Dash - Run, No Visual Obstruction Noted"
1,Alabama,10635,0,1,0,None Noted
1,Alabama,10644,0,1,0,None Noted
1,Alabama,10656,0,1,0,None Noted
1,Alabama,10663,0,1,2,Failure to Yield Right-Of-Way
1,Alabama,10670,0,1,2,Failure to Yield Right-Of-Way
1,Alabama,10670,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
1,Alabama,10683,0,1,2,Failure to Yield Right-Of-Way
1,Alabama,10683,0,1,11,"Dash - Run, No Visual Obstruction Noted"
1,Alabama,10693,0,1,2,Failure to Yield Right-Of-Way
1,Alabama,10705,0,1,2,Failure to Yield Right-Of-Way
1,Alabama,10705,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
1,Alabama,10705,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
1,Alabama,10712,0,1,0,None Noted
1,Alabama,10715,0,1,99,Reported as Unknown
1,Alabama,10718,0,1,2,Failure to Yield Right-Of-Way
1,Alabama,10718,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
1,Alabama,10718,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
1,Alabama,10720,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
1,Alabama,10743,0,1,9,Wrong-Way Riding or Walking
1,Alabama,10743,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
1,Alabama,10745,0,1,99,Reported as Unknown
1,Alabama,10750,0,1,0,None Noted
1,Alabama,10759,0,1,2,Failure to Yield Right-Of-Way
1,Alabama,10759,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
1,Alabama,10761,0,1,0,None Noted
1,Alabama,10762,0,1,2,Failure to Yield Right-Of-Way
1,Alabama,10762,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
1,Alabama,10770,0,1,0,None Noted
1,Alabama,10784,0,1,4,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
1,Alabama,10793,0,1,2,Failure to Yield Right-Of-Way
1,Alabama,10793,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
1,Alabama,10795,0,1,0,None Noted
1,Alabama,10807,0,1,0,None Noted
1,Alabama,10807,0,2,0,None Noted
1,Alabama,10807,0,3,0,None Noted
1,Alabama,10810,0,1,3,"Failure to Obey Traffic Signs, Signals or Officer"
1,Alabama,10810,0,1,9,Wrong-Way Riding or Walking
1,Alabama,10819,0,1,2,Failure to Yield Right-Of-Way
1,Alabama,10839,0,1,11,"Dash - Run, No Visual Obstruction Noted"
1,Alabama,10856,0,1,4,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
1,Alabama,10858,0,1,2,Failure to Yield Right-Of-Way
1,Alabama,10858,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
1,Alabama,10859,0,1,0,None Noted
2,Alaska,20002,0,1,0,None Noted
2,Alaska,20006,0,1,2,Failure to Yield Right-Of-Way
2,Alaska,20006,0,1,4,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
2,Alaska,20007,0,1,2,Failure to Yield Right-Of-Way
2,Alaska,20007,0,1,4,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
2,Alaska,20007,0,1,9,Wrong-Way Riding or Walking
2,Alaska,20010,0,1,4,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
2,Alaska,20010,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
2,Alaska,20023,0,1,21,Other (Specify:)
2,Alaska,20026,0,1,0,None Noted
2,Alaska,20026,0,2,0,None Noted
2,Alaska,20028,0,1,99,Reported as Unknown
2,Alaska,20035,0,1,11,"Dash - Run, No Visual Obstruction Noted"
2,Alaska,20035,0,2,11,"Dash - Run, No Visual Obstruction Noted"
2,Alaska,20038,0,1,11,"Dash - Run, No Visual Obstruction Noted"
2,Alaska,20040,0,1,11,"Dash - Run, No Visual Obstruction Noted"
2,Alaska,20040,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
2,Alaska,20044,0,1,11,"Dash - Run, No Visual Obstruction Noted"
2,Alaska,20048,0,1,0,None Noted
2,Alaska,20052,0,1,4,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
2,Alaska,20052,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
2,Alaska,20053,0,1,0,None Noted
4,Arizona,40002,0,1,99,Reported as Unknown
4,Arizona,40005,0,1,4,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
4,Arizona,40010,0,1,9,Wrong-Way Riding or Walking
4,Arizona,40015,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40015,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
4,Arizona,40016,0,1,4,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
4,Arizona,40016,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
4,Arizona,40016,0,1,21,Other (Specify:)
4,Arizona,40034,0,1,4,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
4,Arizona,40037,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40037,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
4,Arizona,40038,0,1,0,None Noted
4,Arizona,40050,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40050,0,1,3,"Failure to Obey Traffic Signs, Signals or Officer"
4,Arizona,40050,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
4,Arizona,40057,0,1,99,Reported as Unknown
4,Arizona,40058,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40058,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
4,Arizona,40059,0,1,4,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
4,Arizona,40059,0,1,6,"Inattentive (Talking, Eating, Etc.)"
4,Arizona,40059,0,1,21,Other (Specify:)
4,Arizona,40060,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
4,Arizona,40069,0,1,0,None Noted
4,Arizona,40075,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40075,0,1,6,"Inattentive (Talking, Eating, Etc.)"
4,Arizona,40075,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
4,Arizona,40075,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
4,Arizona,40084,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40084,0,1,6,"Inattentive (Talking, Eating, Etc.)"
4,Arizona,40084,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
4,Arizona,40088,0,1,4,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
4,Arizona,40088,0,2,4,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
4,Arizona,40090,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40091,0,1,99,Reported as Unknown
4,Arizona,40093,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40096,0,1,4,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
4,Arizona,40097,0,1,4,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
4,Arizona,40102,0,1,99,Reported as Unknown
4,Arizona,40103,0,1,99,Reported as Unknown
4,Arizona,40104,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
4,Arizona,40106,0,1,0,None Noted
4,Arizona,40107,0,1,4,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
4,Arizona,40108,0,1,0,None Noted
4,Arizona,40108,0,2,0,None Noted
4,Arizona,40108,0,3,0,None Noted
4,Arizona,40109,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40109,0,1,3,"Failure to Obey Traffic Signs, Signals or Officer"
4,Arizona,40110,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40111,0,1,99,Reported as Unknown
4,Arizona,40113,0,1,0,None Noted
4,Arizona,40114,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40114,0,1,11,"Dash - Run, No Visual Obstruction Noted"
4,Arizona,40115,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40115,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
4,Arizona,40127,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40127,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
4,Arizona,40127,0,2,2,Failure to Yield Right-Of-Way
4,Arizona,40127,0,2,12,Improper Crossing of Roadway or Intersection (Jaywalking)
4,Arizona,40137,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40137,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
4,Arizona,40141,0,1,9,Wrong-Way Riding or Walking
4,Arizona,40147,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40147,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
4,Arizona,40148,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40148,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
4,Arizona,40153,0,1,0,None Noted
4,Arizona,40158,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40158,0,1,3,"Failure to Obey Traffic Signs, Signals or Officer"
4,Arizona,40158,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
4,Arizona,40158,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
4,Arizona,40162,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40162,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
4,Arizona,40163,0,1,99,Reported as Unknown
4,Arizona,40166,0,1,99,Reported as Unknown
4,Arizona,40176,0,1,0,None Noted
4,Arizona,40187,0,1,9,Wrong-Way Riding or Walking
4,Arizona,40192,0,1,0,None Noted
4,Arizona,40202,0,1,4,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
4,Arizona,40202,0,1,6,"Inattentive (Talking, Eating, Etc.)"
4,Arizona,40202,0,1,21,Other (Specify:)
4,Arizona,40205,0,1,21,Other (Specify:)
4,Arizona,40206,0,1,0,None Noted
4,Arizona,40209,0,1,7,Improper Turn/Merge
4,Arizona,40219,0,1,99,Reported as Unknown
4,Arizona,40225,0,1,99,Reported as Unknown
4,Arizona,40226,0,1,6,"Inattentive (Talking, Eating, Etc.)"
4,Arizona,40226,0,1,7,Improper Turn/Merge
4,Arizona,40227,0,1,4,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
4,Arizona,40227,0,1,21,Other (Specify:)
4,Arizona,40231,0,1,0,None Noted
4,Arizona,40245,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40245,0,1,3,"Failure to Obey Traffic Signs, Signals or Officer"
4,Arizona,40245,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
4,Arizona,40251,0,1,0,None Noted
4,Arizona,40251,0,2,0,None Noted
4,Arizona,40253,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40253,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
4,Arizona,40255,0,1,99,Reported as Unknown
4,Arizona,40260,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40260,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
4,Arizona,40264,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40266,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
4,Arizona,40271,0,1,0,None Noted
4,Arizona,40272,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
4,Arizona,40274,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40274,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
4,Arizona,40276,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40276,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
4,Arizona,40280,0,1,0,None Noted
4,Arizona,40280,0,2,0,None Noted
4,Arizona,40283,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40283,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
4,Arizona,40285,0,1,0,None Noted
4,Arizona,40288,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40288,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
4,Arizona,40292,0,1,4,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
4,Arizona,40292,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
4,Arizona,40295,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40295,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
4,Arizona,40298,0,1,0,None Noted
4,Arizona,40302,0,1,0,None Noted
4,Arizona,40303,0,1,99,Reported as Unknown
4,Arizona,40304,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40304,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
4,Arizona,40306,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40306,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
4,Arizona,40313,0,1,9,Wrong-Way Riding or Walking
4,Arizona,40314,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40314,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
4,Arizona,40317,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
4,Arizona,40319,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40319,0,1,3,"Failure to Obey Traffic Signs, Signals or Officer"
4,Arizona,40319,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
4,Arizona,40325,0,1,4,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
4,Arizona,40331,0,1,4,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
4,Arizona,40333,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
4,Arizona,40334,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
4,Arizona,40334,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
4,Arizona,40340,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
4,Arizona,40345,0,1,0,None Noted
4,Arizona,40348,0,1,99,Reported as Unknown
4,Arizona,40357,0,1,4,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
4,Arizona,40359,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40359,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
4,Arizona,40365,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40365,0,2,2,Failure to Yield Right-Of-Way
4,Arizona,40367,0,1,21,Other (Specify:)
4,Arizona,40372,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40372,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
4,Arizona,40373,0,1,99,Reported as Unknown
4,Arizona,40378,0,1,0,None Noted
4,Arizona,40379,0,1,99,Reported as Unknown
4,Arizona,40388,0,1,99,Reported as Unknown
4,Arizona,40392,0,1,99,Reported as Unknown
4,Arizona,40395,0,1,99,Reported as Unknown
4,Arizona,40399,0,1,0,None Noted
4,Arizona,40403,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40403,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
4,Arizona,40404,0,1,99,Reported as Unknown
4,Arizona,40407,0,1,0,None Noted
4,Arizona,40409,0,1,99,Reported as Unknown
4,Arizona,40412,0,1,4,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
4,Arizona,40414,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40414,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
4,Arizona,40417,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40417,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
4,Arizona,40418,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40418,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
4,Arizona,40420,0,1,0,None Noted
4,Arizona,40421,0,1,99,Reported as Unknown
4,Arizona,40423,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40423,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
4,Arizona,40423,0,2,2,Failure to Yield Right-Of-Way
4,Arizona,40423,0,2,12,Improper Crossing of Roadway or Intersection (Jaywalking)
4,Arizona,40424,0,1,9,Wrong-Way Riding or Walking
4,Arizona,40426,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40426,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
4,Arizona,40427,0,1,0,None Noted
4,Arizona,40434,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40434,0,1,3,"Failure to Obey Traffic Signs, Signals or Officer"
4,Arizona,40434,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
4,Arizona,40437,0,1,99,Reported as Unknown
4,Arizona,40440,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40441,0,1,0,None Noted
4,Arizona,40443,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40443,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
4,Arizona,40448,0,1,99,Reported as Unknown
4,Arizona,40449,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40449,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
4,Arizona,40450,0,1,99,Reported as Unknown
4,Arizona,40451,0,1,4,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
4,Arizona,40451,0,1,6,"Inattentive (Talking, Eating, Etc.)"
4,Arizona,40454,0,1,99,Reported as Unknown
4,Arizona,40455,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40455,0,1,3,"Failure to Obey Traffic Signs, Signals or Officer"
4,Arizona,40455,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
4,Arizona,40461,0,1,0,None Noted
4,Arizona,40461,0,2,0,None Noted
4,Arizona,40461,0,3,0,None Noted
4,Arizona,40469,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40469,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
4,Arizona,40470,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40470,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
4,Arizona,40472,0,1,11,"Dash - Run, No Visual Obstruction Noted"
4,Arizona,40477,0,1,15,Improper or Erratic Lane Changing
4,Arizona,40482,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40482,0,1,11,"Dash - Run, No Visual Obstruction Noted"
4,Arizona,40482,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
4,Arizona,40488,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40488,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
4,Arizona,40493,0,1,99,Reported as Unknown
4,Arizona,40505,0,1,9,Wrong-Way Riding or Walking
