STATE,STATENAME,ST_CASE,CRASHRF,CRASHRFNAME
1,Alabama,10122,0,None
1,Alabama,10123,0,None
1,Alabama,10124,0,None
1,Alabama,10125,18,Date of Crash and Date of EMS Notification were not the same day
1,Alabama,10126,0,None
1,Alabama,10127,0,None
1,Alabama,10128,0,None
1,Alabama,10129,0,None
1,Alabama,10130,0,None
1,Alabama,10131,0,None
1,Alabama,10132,0,None
1,Alabama,10133,0,None
1,Alabama,10134,0,None
1,Alabama,10135,0,None
1,Alabama,10136,0,None
1,Alabama,10137,0,None
1,Alabama,10138,0,None
1,Alabama,10139,0,None
1,Alabama,10140,0,None
1,Alabama,10141,0,None
1,Alabama,10142,0,None
1,Alabama,10143,0,None
1,Alabama,10144,0,None
1,Alabama,10145,0,None
1,Alabama,10146,0,None
1,Alabama,10147,0,None
1,Alabama,10148,0,None
1,Alabama,10149,0,None
1,Alabama,10150,0,None
1,Alabama,10151,0,None
1,Alabama,10152,0,None
1,Alabama,10153,0,None
1,Alabama,10154,0,None
1,Alabama,10155,0,None
1,Alabama,10156,0,None
1,Alabama,10157,0,None
1,Alabama,10158,0,None
1,Alabama,10159,0,None
1,Alabama,10160,0,None
1,Alabama,10161,0,None
1,Alabama,10162,0,None
1,Alabama,10163,0,None
1,Alabama,10164,0,None
1,Alabama,10165,0,None
1,Alabama,10166,0,None
1,Alabama,10167,0,None
1,Alabama,10168,14,"Motor Vehicle struck by falling cargo,or something that came loose from or something that was set in motion by a vehicle"
1,Alabama,10169,15,"Non-occupant struck by falling cargo, or something that came loose from, or something that was set in motion by a vehicle"
1,Alabama,10170,0,None
1,Alabama,10171,0,None
1,Alabama,10172,0,None
1,Alabama,10173,0,None
1,Alabama,10174,0,None
1,Alabama,10176,0,None
1,Alabama,10177,0,None
1,Alabama,10178,0,None
1,Alabama,10179,0,None
1,Alabama,10180,0,None
1,Alabama,10181,20,Police Pursuit Involved
1,Alabama,10182,0,None
1,Alabama,10183,0,None
1,Alabama,10184,0,None
1,Alabama,10185,0,None
1,Alabama,10186,0,None
1,Alabama,10187,0,None
1,Alabama,10188,0,None
1,Alabama,10190,0,None
1,Alabama,10191,0,None
1,Alabama,10192,0,None
1,Alabama,10193,0,None
1,Alabama,10194,0,None
1,Alabama,10195,0,None
1,Alabama,10196,0,None
1,Alabama,10197,0,None
1,Alabama,10198,0,None
1,Alabama,10199,0,None
1,Alabama,10200,0,None
1,Alabama,10201,0,None
1,Alabama,10202,0,None
1,Alabama,10203,0,None
1,Alabama,10204,0,None
1,Alabama,10205,0,None
1,Alabama,10206,0,None
1,Alabama,10207,0,None
1,Alabama,10208,0,None
1,Alabama,10209,0,None
1,Alabama,10210,0,None
1,Alabama,10211,0,None
1,Alabama,10212,0,None
1,Alabama,10213,0,None
1,Alabama,10214,0,None
1,Alabama,10215,0,None
1,Alabama,10216,0,None
1,Alabama,10217,0,None
1,Alabama,10218,0,None
1,Alabama,10219,0,None
1,Alabama,10220,0,None
1,Alabama,10221,0,None
1,Alabama,10222,0,None
1,Alabama,10223,0,None
1,Alabama,10224,0,None
1,Alabama,10225,0,None
1,Alabama,10226,0,None
1,Alabama,10227,0,None
1,Alabama,10228,0,None
1,Alabama,10229,0,None
1,Alabama,10230,0,None
1,Alabama,10231,0,None
1,Alabama,10232,20,Police Pursuit Involved
1,Alabama,10233,0,None
1,Alabama,10234,0,None
1,Alabama,10235,0,None
1,Alabama,10236,0,None
1,Alabama,10237,0,None
1,Alabama,10238,0,None
1,Alabama,10239,19,Recent/Previous Crash scene Nearby
1,Alabama,10239,14,"Motor Vehicle struck by falling cargo,or something that came loose from or something that was set in motion by a vehicle"
1,Alabama,10240,0,None
1,Alabama,10242,0,None
1,Alabama,10243,0,None
1,Alabama,10244,0,None
1,Alabama,10245,0,None
1,Alabama,10246,0,None
1,Alabama,10247,0,None
1,Alabama,10248,0,None
1,Alabama,10249,0,None
1,Alabama,10250,0,None
1,Alabama,10251,0,None
1,Alabama,10252,0,None
1,Alabama,10253,0,None
1,Alabama,10254,0,None
1,Alabama,10255,0,None
1,Alabama,10256,0,None
1,Alabama,10257,0,None
1,Alabama,10258,0,None
1,Alabama,10259,0,None
1,Alabama,10260,23,Indication of a Stalled/Disabled Vehicle
1,Alabama,10260,14,"Motor Vehicle struck by falling cargo,or something that came loose from or something that was set in motion by a vehicle"
1,Alabama,10261,0,None
1,Alabama,10262,0,None
1,Alabama,10263,0,None
1,Alabama,10264,0,None
1,Alabama,10265,0,None
1,Alabama,10266,0,None
1,Alabama,10267,0,None
1,Alabama,10268,20,Police Pursuit Involved
1,Alabama,10269,0,None
1,Alabama,10270,0,None
1,Alabama,10271,0,None
1,Alabama,10272,0,None
1,Alabama,10273,0,None
1,Alabama,10274,0,None
1,Alabama,10275,0,None
1,Alabama,10276,0,None
1,Alabama,10277,0,None
1,Alabama,10278,0,None
1,Alabama,10279,14,"Motor Vehicle struck by falling cargo,or something that came loose from or something that was set in motion by a vehicle"
1,Alabama,10280,0,None
1,Alabama,10281,0,None
1,Alabama,10282,0,None
1,Alabama,10283,0,None
1,Alabama,10284,0,None
1,Alabama,10285,0,None
1,Alabama,10286,0,None
1,Alabama,10287,0,None
1,Alabama,10288,14,"Motor Vehicle struck by falling cargo,or something that came loose from or something that was set in motion by a vehicle"
1,Alabama,10289,0,None
1,Alabama,10290,20,Police Pursuit Involved
1,Alabama,10291,0,None
1,Alabama,10292,0,None
1,Alabama,10293,0,None
1,Alabama,10294,0,None
1,Alabama,10295,0,None
1,Alabama,10296,0,None
1,Alabama,10297,0,None
1,Alabama,10298,0,None
1,Alabama,10299,0,None
1,Alabama,10300,0,None
1,Alabama,10301,0,None
1,Alabama,10302,0,None
1,Alabama,10303,0,None
1,Alabama,10304,0,None
1,Alabama,10305,0,None
1,Alabama,10306,0,None
1,Alabama,10307,0,None
1,Alabama,10308,0,None
1,Alabama,10309,0,None
1,Alabama,10310,0,None
1,Alabama,10311,0,None
1,Alabama,10312,0,None
1,Alabama,10313,0,None
1,Alabama,10314,0,None
1,Alabama,10315,0,None
1,Alabama,10316,0,None
1,Alabama,10317,0,None
1,Alabama,10318,0,None
1,Alabama,10319,0,None
1,Alabama,10320,0,None
1,Alabama,10321,0,None
1,Alabama,10322,14,"Motor Vehicle struck by falling cargo,or something that came loose from or something that was set in motion by a vehicle"
1,Alabama,10323,0,None
1,Alabama,10324,14,"Motor Vehicle struck by falling cargo,or something that came loose from or something that was set in motion by a vehicle"
1,Alabama,10325,0,None
1,Alabama,10326,0,None
1,Alabama,10327,0,None
1,Alabama,10328,0,None
1,Alabama,10329,0,None
1,Alabama,10330,0,None
1,Alabama,10331,20,Police Pursuit Involved
1,Alabama,10332,0,None
1,Alabama,10333,0,None
1,Alabama,10334,0,None
1,Alabama,10335,0,None
1,Alabama,10336,0,None
1,Alabama,10337,0,None
1,Alabama,10338,0,None
1,Alabama,10339,0,None
1,Alabama,10340,0,None
1,Alabama,10341,14,"Motor Vehicle struck by falling cargo,or something that came loose from or something that was set in motion by a vehicle"
1,Alabama,10342,0,None
1,Alabama,10343,0,None
1,Alabama,10344,0,None
1,Alabama,10345,0,None
1,Alabama,10346,0,None
1,Alabama,10347,0,None
1,Alabama,10348,19,Recent/Previous Crash scene Nearby
1,Alabama,10349,0,None
1,Alabama,10350,19,Recent/Previous Crash scene Nearby
1,Alabama,10351,0,None
1,Alabama,10352,0,None
1,Alabama,10353,0,None
1,Alabama,10354,0,None
1,Alabama,10355,19,Recent/Previous Crash scene Nearby
1,Alabama,10357,0,None
1,Alabama,10358,0,None
1,Alabama,10359,0,None
1,Alabama,10360,0,None
1,Alabama,10361,0,None
1,Alabama,10362,0,None
1,Alabama,10363,0,None
1,Alabama,10364,0,None
1,Alabama,10365,20,Police Pursuit Involved
1,Alabama,10366,0,None
1,Alabama,10367,14,"Motor Vehicle struck by falling cargo,or something that came loose from or something that was set in motion by a vehicle"
1,Alabama,10368,0,None
1,Alabama,10369,0,None
1,Alabama,10370,0,None
1,Alabama,10371,0,None
1,Alabama,10372,0,None
1,Alabama,10373,0,None
1,Alabama,10374,0,None
1,Alabama,10375,0,None
1,Alabama,10376,0,None
1,Alabama,10377,0,None
1,Alabama,10378,0,None
1,Alabama,10379,0,None
1,Alabama,10380,0,None
1,Alabama,10381,0,None
1,Alabama,10382,0,None
1,Alabama,10383,0,None
1,Alabama,10384,0,None
1,Alabama,10385,0,None
1,Alabama,10386,14,"Motor Vehicle struck by falling cargo,or something that came loose from or something that was set in motion by a vehicle"
1,Alabama,10387,0,None
1,Alabama,10388,0,None
1,Alabama,10389,0,None
1,Alabama,10390,0,None
1,Alabama,10391,0,None
1,Alabama,10392,0,None
1,Alabama,10393,0,None
1,Alabama,10394,0,None
1,Alabama,10395,0,None
1,Alabama,10396,0,None
1,Alabama,10397,0,None
1,Alabama,10398,0,None
1,Alabama,10399,0,None
1,Alabama,10400,0,None
1,Alabama,10401,0,None
1,Alabama,10402,0,None
1,Alabama,10403,0,None
1,Alabama,10404,0,None
1,Alabama,10405,0,None
1,Alabama,10406,0,None
1,Alabama,10407,0,None
1,Alabama,10408,0,None
1,Alabama,10409,0,None
1,Alabama,10410,0,None
1,Alabama,10411,0,None
1,Alabama,10412,0,None
1,Alabama,10413,0,None
1,Alabama,10414,0,None
1,Alabama,10415,0,None
1,Alabama,10416,0,None
1,Alabama,10417,0,None
1,Alabama,10418,0,None
1,Alabama,10419,0,None
1,Alabama,10420,14,"Motor Vehicle struck by falling cargo,or something that came loose from or something that was set in motion by a vehicle"
1,Alabama,10421,0,None
1,Alabama,10422,0,None
1,Alabama,10423,0,None
1,Alabama,10424,0,None
1,Alabama,10425,0,None
1,Alabama,10426,0,None
1,Alabama,10427,0,None
1,Alabama,10428,0,None
1,Alabama,10429,0,None
1,Alabama,10430,0,None
1,Alabama,10431,0,None
1,Alabama,10432,0,None
1,Alabama,10434,0,None
1,Alabama,10435,0,None
1,Alabama,10436,28,Regular Congestion
1,Alabama,10437,0,None
1,Alabama,10438,0,None
1,Alabama,10439,27,Backup Due to Prior Crash
1,Alabama,10440,0,None
1,Alabama,10441,0,None
1,Alabama,10442,0,None
1,Alabama,10443,0,None
1,Alabama,10444,0,None
1,Alabama,10445,0,None
1,Alabama,10446,0,None
1,Alabama,10447,0,None
1,Alabama,10448,0,None
1,Alabama,10449,0,None
1,Alabama,10450,0,None
1,Alabama,10451,0,None
1,Alabama,10452,0,None
1,Alabama,10453,0,None
1,Alabama,10454,0,None
1,Alabama,10455,0,None
1,Alabama,10456,0,None
1,Alabama,10457,0,None
1,Alabama,10458,0,None
1,Alabama,10459,0,None
1,Alabama,10460,0,None
1,Alabama,10461,27,Backup Due to Prior Crash
1,Alabama,10461,19,Recent/Previous Crash scene Nearby
1,Alabama,10462,0,None
1,Alabama,10463,0,None
1,Alabama,10464,0,None
1,Alabama,10465,0,None
1,Alabama,10466,0,None
1,Alabama,10467,0,None
1,Alabama,10468,0,None
1,Alabama,10469,0,None
1,Alabama,10470,0,None
1,Alabama,10471,23,Indication of a Stalled/Disabled Vehicle
1,Alabama,10472,0,None
1,Alabama,10473,0,None
1,Alabama,10474,0,None
1,Alabama,10475,0,None
1,Alabama,10476,0,None
1,Alabama,10477,0,None
1,Alabama,10478,14,"Motor Vehicle struck by falling cargo,or something that came loose from or something that was set in motion by a vehicle"
1,Alabama,10479,14,"Motor Vehicle struck by falling cargo,or something that came loose from or something that was set in motion by a vehicle"
1,Alabama,10480,0,None
1,Alabama,10481,0,None
1,Alabama,10482,0,None
1,Alabama,10483,0,None
1,Alabama,10484,0,None
1,Alabama,10485,0,None
1,Alabama,10486,0,None
1,Alabama,10487,0,None
1,Alabama,10488,0,None
1,Alabama,10489,0,None
1,Alabama,10490,0,None
1,Alabama,10491,0,None
1,Alabama,10492,0,None
1,Alabama,10493,0,None
1,Alabama,10494,0,None
1,Alabama,10495,0,None
1,Alabama,10496,0,None
1,Alabama,10497,0,None
1,Alabama,10498,0,None
1,Alabama,10499,0,None
1,Alabama,10500,14,"Motor Vehicle struck by falling cargo,or something that came loose from or something that was set in motion by a vehicle"
1,Alabama,10501,0,None
1,Alabama,10502,0,None
1,Alabama,10503,0,None
1,Alabama,10504,0,None
1,Alabama,10505,0,None
1,Alabama,10506,0,None
1,Alabama,10507,0,None
1,Alabama,10508,0,None
1,Alabama,10509,0,None
1,Alabama,10510,0,None
1,Alabama,10511,20,Police Pursuit Involved
1,Alabama,10512,0,None
1,Alabama,10513,0,None
1,Alabama,10514,0,None
1,Alabama,10515,0,None
1,Alabama,10516,20,Police Pursuit Involved
1,Alabama,10517,0,None
1,Alabama,10518,0,None
1,Alabama,10519,0,None
1,Alabama,10520,0,None
1,Alabama,10521,0,None
1,Alabama,10522,0,None
1,Alabama,10523,0,None
1,Alabama,10524,0,None
1,Alabama,10525,0,None
1,Alabama,10526,0,None
1,Alabama,10527,0,None
1,Alabama,10528,0,None
1,Alabama,10529,0,None
1,Alabama,10530,0,None
1,Alabama,10531,0,None
1,Alabama,10532,0,None
1,Alabama,10533,0,None
1,Alabama,10534,0,None
1,Alabama,10535,0,None
1,Alabama,10536,0,None
1,Alabama,10537,0,None
1,Alabama,10538,0,None
1,Alabama,10539,0,None
1,Alabama,10540,0,None
1,Alabama,10541,0,None
1,Alabama,10542,0,None
1,Alabama,10543,0,None
1,Alabama,10544,0,None
1,Alabama,10545,0,None
1,Alabama,10546,0,None
1,Alabama,10547,0,None
1,Alabama,10548,0,None
1,Alabama,10549,0,None
1,Alabama,10550,0,None
1,Alabama,10551,27,Backup Due to Prior Crash
1,Alabama,10552,0,None
1,Alabama,10553,0,None
1,Alabama,10554,0,None
1,Alabama,10555,0,None
1,Alabama,10556,0,None
1,Alabama,10557,0,None
1,Alabama,10558,0,None
1,Alabama,10559,0,None
1,Alabama,10560,0,None
1,Alabama,10561,0,None
1,Alabama,10562,0,None
1,Alabama,10563,0,None
1,Alabama,10564,0,None
1,Alabama,10565,14,"Motor Vehicle struck by falling cargo,or something that came loose from or something that was set in motion by a vehicle"
1,Alabama,10566,19,Recent/Previous Crash scene Nearby
1,Alabama,10567,14,"Motor Vehicle struck by falling cargo,or something that came loose from or something that was set in motion by a vehicle"
1,Alabama,10568,0,None
1,Alabama,10569,0,None
1,Alabama,10570,0,None
1,Alabama,10571,0,None
1,Alabama,10572,14,"Motor Vehicle struck by falling cargo,or something that came loose from or something that was set in motion by a vehicle"
1,Alabama,10573,0,None
1,Alabama,10574,0,None
1,Alabama,10575,0,None
1,Alabama,10576,0,None
1,Alabama,10577,0,None
1,Alabama,10578,0,None
1,Alabama,10579,0,None
1,Alabama,10580,0,None
1,Alabama,10581,0,None
1,Alabama,10582,0,None
1,Alabama,10583,0,None
1,Alabama,10584,0,None
1,Alabama,10585,0,None
1,Alabama,10586,0,None
1,Alabama,10587,0,None
1,Alabama,10588,0,None
1,Alabama,10589,0,None
1,Alabama,10590,0,None
1,Alabama,10591,0,None
1,Alabama,10592,0,None
1,Alabama,10593,0,None
1,Alabama,10594,0,None
1,Alabama,10595,0,None
1,Alabama,10596,0,None
1,Alabama,10597,0,None
1,Alabama,10598,0,None
1,Alabama,10599,0,None
1,Alabama,10600,0,None
1,Alabama,10601,0,None
1,Alabama,10602,0,None
1,Alabama,10603,0,None
1,Alabama,10604,0,None
1,Alabama,10605,0,None
1,Alabama,10606,0,None
1,Alabama,10607,0,None
1,Alabama,10608,0,None
1,Alabama,10609,20,Police Pursuit Involved
1,Alabama,10610,0,None
1,Alabama,10611,0,None
1,Alabama,10612,0,None
1,Alabama,10613,0,None
1,Alabama,10614,0,None
1,Alabama,10615,0,None
1,Alabama,10616,0,None
1,Alabama,10617,0,None
1,Alabama,10618,0,None
1,Alabama,10619,0,None
1,Alabama,10620,0,None
1,Alabama,10621,0,None
1,Alabama,10622,0,None
1,Alabama,10623,0,None
1,Alabama,10625,0,None
1,Alabama,10626,0,None
1,Alabama,10627,0,None
1,Alabama,10628,0,None
1,Alabama,10629,0,None
1,Alabama,10630,0,None
1,Alabama,10631,0,None
1,Alabama,10632,0,None
1,Alabama,10633,0,None
1,Alabama,10634,0,None
1,Alabama,10635,0,None
1,Alabama,10636,0,None
1,Alabama,10637,0,None
1,Alabama,10638,0,None
1,Alabama,10639,0,None
1,Alabama,10640,0,None
1,Alabama,10641,0,None
1,Alabama,10642,20,Police Pursuit Involved
1,Alabama,10643,0,None
1,Alabama,10644,0,None
1,Alabama,10645,0,None
1,Alabama,10646,0,None
1,Alabama,10647,0,None
1,Alabama,10648,0,None
1,Alabama,10649,0,None
1,Alabama,10650,0,None
1,Alabama,10651,0,None
1,Alabama,10652,0,None
1,Alabama,10653,0,None
1,Alabama,10654,0,None
1,Alabama,10655,0,None
1,Alabama,10656,0,None
1,Alabama,10657,0,None
1,Alabama,10658,0,None
1,Alabama,10659,0,None
1,Alabama,10660,0,None
1,Alabama,10661,0,None
1,Alabama,10662,0,None
1,Alabama,10663,0,None
1,Alabama,10664,0,None
1,Alabama,10665,20,Police Pursuit Involved
1,Alabama,10666,0,None
1,Alabama,10667,14,"Motor Vehicle struck by falling cargo,or something that came loose from or something that was set in motion by a vehicle"
1,Alabama,10668,0,None
1,Alabama,10669,0,None
1,Alabama,10670,0,None
1,Alabama,10671,0,None
1,Alabama,10672,0,None
1,Alabama,10673,0,None
1,Alabama,10674,0,None
1,Alabama,10675,18,Date of Crash and Date of EMS Notification were not the same day
1,Alabama,10676,0,None
1,Alabama,10677,0,None
1,Alabama,10678,0,None
1,Alabama,10679,0,None
1,Alabama,10680,0,None
1,Alabama,10681,0,None
1,Alabama,10682,20,Police Pursuit Involved
1,Alabama,10683,0,None
1,Alabama,10684,0,None
1,Alabama,10685,0,None
1,Alabama,10686,0,None
1,Alabama,10687,0,None
1,Alabama,10688,0,None
1,Alabama,10689,20,Police Pursuit Involved
1,Alabama,10690,0,None
1,Alabama,10691,0,None
1,Alabama,10692,0,None
1,Alabama,10693,0,None
1,Alabama,10694,0,None
1,Alabama,10695,0,None
1,Alabama,10696,0,None
1,Alabama,10697,0,None
1,Alabama,10698,0,None
1,Alabama,10699,0,None
1,Alabama,10700,0,None
1,Alabama,10701,0,None
1,Alabama,10702,0,None
1,Alabama,10703,0,None
1,Alabama,10704,0,None
1,Alabama,10705,0,None
1,Alabama,10706,0,None
1,Alabama,10707,0,None
1,Alabama,10708,0,None
1,Alabama,10709,0,None
1,Alabama,10710,0,None
1,Alabama,10711,0,None
1,Alabama,10712,0,None
1,Alabama,10713,0,None
1,Alabama,10714,0,None
1,Alabama,10715,0,None
1,Alabama,10716,0,None
1,Alabama,10717,0,None
1,Alabama,10718,0,None
1,Alabama,10719,0,None
1,Alabama,10720,0,None
1,Alabama,10721,0,None
1,Alabama,10722,0,None
1,Alabama,10723,0,None
1,Alabama,10724,0,None
1,Alabama,10725,0,None
1,Alabama,10726,0,None
1,Alabama,10727,0,None
1,Alabama,10728,0,None
1,Alabama,10729,0,None
1,Alabama,10730,0,None
1,Alabama,10731,0,None
1,Alabama,10732,0,None
1,Alabama,10733,14,"Motor Vehicle struck by falling cargo,or something that came loose from or something that was set in motion by a vehicle"
1,Alabama,10734,0,None
1,Alabama,10735,0,None
1,Alabama,10736,0,None
1,Alabama,10737,0,None
1,Alabama,10738,0,None
1,Alabama,10739,0,None
1,Alabama,10740,0,None
1,Alabama,10741,0,None
1,Alabama,10742,0,None
1,Alabama,10743,0,None
1,Alabama,10744,0,None
1,Alabama,10745,0,None
1,Alabama,10746,0,None
1,Alabama,10747,0,None
1,Alabama,10748,0,None
1,Alabama,10749,0,None
1,Alabama,10750,23,Indication of a Stalled/Disabled Vehicle
1,Alabama,10751,0,None
1,Alabama,10752,20,Police Pursuit Involved
1,Alabama,10753,0,None
1,Alabama,10754,0,None
1,Alabama,10755,0,None
1,Alabama,10756,0,None
1,Alabama,10757,0,None
1,Alabama,10758,0,None
1,Alabama,10759,0,None
1,Alabama,10760,0,None
1,Alabama,10761,0,None
1,Alabama,10762,0,None
1,Alabama,10763,0,None
1,Alabama,10764,0,None
1,Alabama,10765,0,None
1,Alabama,10766,0,None
1,Alabama,10767,0,None
1,Alabama,10768,0,None
1,Alabama,10769,0,None
1,Alabama,10770,15,"Non-occupant struck by falling cargo, or something that came loose from, or something that was set in motion by a vehicle"
1,Alabama,10771,0,None
1,Alabama,10772,0,None
1,Alabama,10773,0,None
1,Alabama,10774,0,None
1,Alabama,10775,0,None
1,Alabama,10776,0,None
1,Alabama,10778,0,None
1,Alabama,10779,0,None
1,Alabama,10780,0,None
1,Alabama,10781,0,None
1,Alabama,10782,0,None
1,Alabama,10783,0,None
1,Alabama,10784,0,None
1,Alabama,10785,27,Backup Due to Prior Crash
1,Alabama,10785,19,Recent/Previous Crash scene Nearby
1,Alabama,10786,0,None
1,Alabama,10787,0,None
1,Alabama,10788,0,None
1,Alabama,10789,0,None
1,Alabama,10790,0,None
1,Alabama,10791,0,None
1,Alabama,10792,0,None
1,Alabama,10793,0,None
1,Alabama,10794,0,None
1,Alabama,10795,0,None
1,Alabama,10796,0,None
1,Alabama,10797,0,None
1,Alabama,10798,0,None
1,Alabama,10799,0,None
1,Alabama,10800,0,None
1,Alabama,10801,0,None
1,Alabama,10802,0,None
1,Alabama,10803,0,None
1,Alabama,10804,0,None
1,Alabama,10805,0,None
1,Alabama,10806,0,None
1,Alabama,10807,0,None
1,Alabama,10808,0,None
1,Alabama,10809,0,None
1,Alabama,10810,0,None
1,Alabama,10811,0,None
1,Alabama,10812,0,None
1,Alabama,10813,0,None
1,Alabama,10814,0,None
1,Alabama,10815,0,None
1,Alabama,10816,0,None
1,Alabama,10817,0,None
1,Alabama,10818,0,None
1,Alabama,10819,0,None
1,Alabama,10820,0,None
1,Alabama,10821,0,None
1,Alabama,10822,0,None
1,Alabama,10823,0,None
1,Alabama,10824,0,None
1,Alabama,10825,0,None
1,Alabama,10826,0,None
1,Alabama,10827,0,None
1,Alabama,10828,0,None
1,Alabama,10829,0,None
1,Alabama,10830,0,None
1,Alabama,10831,0,None
1,Alabama,10832,0,None
1,Alabama,10833,0,None
1,Alabama,10834,0,None
1,Alabama,10835,0,None
1,Alabama,10836,0,None
1,Alabama,10837,0,None
1,Alabama,10838,20,Police Pursuit Involved
1,Alabama,10839,0,None
1,Alabama,10840,0,None
1,Alabama,10841,0,None
1,Alabama,10842,0,None
1,Alabama,10843,0,None
1,Alabama,10844,0,None
1,Alabama,10845,0,None
1,Alabama,10846,0,None
1,Alabama,10847,0,None
1,Alabama,10848,0,None
1,Alabama,10849,0,None
1,Alabama,10850,0,None
1,Alabama,10851,0,None
1,Alabama,10852,0,None
1,Alabama,10853,0,None
1,Alabama,10854,0,None
1,Alabama,10855,0,None
1,Alabama,10856,0,None
1,Alabama,10857,0,None
1,Alabama,10858,0,None
1,Alabama,10859,17,Vehicle set-in-motion by non-driver
1,Alabama,10860,0,None
2,Alaska,20001,0,None
2,Alaska,20002,0,None
2,Alaska,20003,0,None
2,Alaska,20004,0,None
2,Alaska,20005,0,None
2,Alaska,20006,0,None
2,Alaska,20007,0,None
2,Alaska,20008,0,None
2,Alaska,20009,0,None
2,Alaska,20010,0,None
2,Alaska,20011,0,None
2,Alaska,20012,0,None
2,Alaska,20013,0,None
2,Alaska,20014,0,None
2,Alaska,20015,0,None
2,Alaska,20016,0,None
2,Alaska,20017,0,None
2,Alaska,20018,0,None
2,Alaska,20019,0,None
2,Alaska,20020,0,None
2,Alaska,20021,0,None
2,Alaska,20022,0,None
2,Alaska,20023,0,None
2,Alaska,20024,0,None
2,Alaska,20025,0,None
2,Alaska,20026,0,None
2,Alaska,20027,0,None
2,Alaska,20028,0,None
2,Alaska,20029,0,None
2,Alaska,20030,0,None
2,Alaska,20031,0,None
2,Alaska,20032,0,None
2,Alaska,20033,0,None
2,Alaska,20034,0,None
2,Alaska,20035,0,None
